OaSIS profile code,Main duties
11101.02,"Collect financial and investment information about companies, stocks, bonds and other investments using daily stock and bond reports, economic forecasts, trading volumes, financial periodicals, securities manuals, company financial statements and other financial reports and publications"
11101.02,"Examine and analyze financial and investment information collected, including profiles of companies, stock and bond prices, yields and future trends and other investment information"
11101.02,"Provide investment advice and recommendations to clients, senior company officials, pension fund managers, securities agents and associates"
11101.02,"Prepare company, industry and economic outlooks, analytical reports, briefing notes and correspondence."
11102,"Develop personal financial plans for clients covering cash management, finances, insurance coverage, investments, retirement and estate planning, taxes and legal matters"
11102,"Analyze clients' financial records, set goals and develop a financial strategy"
11102,Advise clients on implementing the financial plan to help them achieve their goals
11102,"May also arrange for the purchase and sale of financial products and investments depending on the licence held, and monitor the portfolio to ensure its quality and profitability"
11102,May help to expand business and attract new clients.
11103.01,"Develop long-term relationships with their clients by preparing investment strategies to help them achieve their financial goals, offering advice and information on various investments to guide them in managing their portfolios"
11103.01,"Review financial periodicals, stock and bond reports, business publications and other material, and develop a network within the financial industry to gather relevant information and identify potential investments for clients"
11103.01,"Carry out investment orders by buying and selling stocks, bonds, treasury bills, mutual funds and other securities for individual investors, pension fund managers or companies such as banks, trust companies and insurance firms"
11103.01,Monitor clients' investment portfolios and ensure that investment transactions are carried out according to industry regulations.
11103.02,"Buy and sell stocks, bonds, commodity futures, foreign currencies and other securities at stock exchanges on behalf of investment dealers"
11103.02,"Develop trading strategies by reviewing investment information and monitoring market conditions from the exchange floor and through contact with trading departments of other investment firms, pension fund managers and investment company financial analysts"
11103.02,Make bids and offers to buy and sell securities and complete details of sales on exchange trade tickets
11103.02,Prepare reviews of portfolios' positions.
11109.01,"Review and examine banks, trust companies, credit unions, caisses populaires, credit companies, real estate companies, insurance companies, pension funds, securities brokers and other financial services and institutions to ensure compliance with governing legislation and regulations."
11109.02,Investigate possible unethical conduct or breaches of securities or commodity futures laws by persons or companies that trade in securities and commodity futures or that provide related financial services.
11109.03,"Analyze clients requests to assess risk and details of stocks, bonds, mortgages or other financing solutions"
11109.03,"Negotiate with corporations, governments or individuals to determine the type and terms of financial products and prepare offering prospectuses or contracts"
11109.03,May underwrite new issues of stocks and bonds.
11109.04,"Administer estate, personal, charitable, corporate and other types of trusts"
11109.04,"Direct trust account investments, receive and record investment income and disburse trust funds."
11109.05,"Meet with clients to obtain information about income, liabilities and assets, and type, price and condition of property to be mortgaged"
11109.05,Negotiate mortgage loans with lenders or lending institutions on behalf of clients.
11200,"Plan, develop, implement and evaluate human resources and labour relations strategies including policies, programs and procedures to address an organization's human resource requirements"
11200,"Advise employers and employees on the interpretation of human resources policies, compensation and benefit programs and collective agreements"
11200,"Negotiate collective agreements on behalf of  employers or workers, mediate labour disputes and grievances and provide advice on employee and labour relations"
11200,"Research and prepare occupational classifications, job descriptions, salary scales and competency appraisal measures and systems"
11200,"Plan and administer staffing, total compensation, training and career development, employee assistance, employment equity and affirmative action programs"
11200,Manage programs and maintain human resources information and related records systems
11200,Hire and oversee training of staff
11200,Coordinate employee performance appraisal programs
11200,Research employee benefit and health and safety practices and recommend changes or modifications to existing policies.
11201,Provide guidance and support to businesses on regulatory policies and procedures; ensure internal compliance with regulatory requirements; and prepare submissions and filings with regulatory bodies
11201,Analyze and provide advice on the managerial methods and organization of a public or private sector establishment
11201,Conduct research to determine efficiency and effectiveness of managerial policies and programs
11201,"Conduct assessments and propose improvements to methods, systems and procedures in areas such as operations, human resources, records management, security management and communications"
11201,Conduct quality audits and develop quality management and quality assurance standards for ISO (International Organization for Standardization) registration
11201,Plan the reorganization of the operations of an establishment
11201,May supervise contracted researchers or clerical staff.
11202,Assess characteristics of products or services to be promoted to determine marketing and advertising needs of an establishment
11202,"Advise clients on marketing, advertising or sales promotion opportunities and strategies"
11202,Develop strategies and related content for direct and digital marketing and advertising campaigns and implement them
11202,Manage post campaign analysis to measure and report on marketing and advertising metrics
11202,"Develop and maintain social media accounts, including managing customer reviews and testimonials"
11202,"Develop, implement and evaluate public relations strategies and programs designed to inform clients, employees and the general public of initiatives and policies of businesses, governments and other organizations"
11202,Conduct public opinion and attitude surveys to identify the interests and concerns of  key groups served by their organization
11202,"Prepare or oversee preparation of reports, briefs, bibliographies, speeches, presentations, Web sites and press releases"
11202,"Develop and organize workshops, meetings, ceremonies and other events and programs for publicity, fundraising and information purposes"
11202,"Arrange interviews, news conferences and other media events"
11202,Act as spokesperson for an organization and answer written and oral inquiries
11202,Coordinate special publicity events and promotions for internal and external audiences
11202,"Assist in the preparation of brochures, reports, newsletters and other material"
11202,Represent and act as an agent for talented individuals or individuals with specific occupational expertise
11202,"Prepare or oversee preparation of sports, literary, performance or other contracts."
12010,"Coordinate, assign and review the work of clerks engaged in the following duties: word processing; record keeping and filing; operating telephones and switchboards; data entry; desktop publishing; and other activities involving general office and administrative skills"
12010,Establish work schedules and procedures and coordinate activities with other work units or departments
12010,Resolve work-related problems and prepare and submit progress and other reports
12010,"Train workers in job duties, safety procedures and company policies"
12010,Requisition supplies and materials
12010,"Ensure smooth operation of office equipment and machinery, and arrange for maintenance and repair work"
12010,May perform the same duties as workers supervised.
12011,"Implement efficient working processes and coordinate, assign and review the work of clerks engaged in the following duties: administering accounts payable and receivable; processing, verifying and recording financial documents and forms; administering payrolls; processing, verifying and recording insurance claims and forms; and collecting user fees and payments on overdue accounts"
12011,"Examine and verify accuracy of work and authorize routine payments, credits and other transactions"
12011,Establish work schedules and procedures and coordinate activities with other work units or departments
12011,Resolve work-related problems and prepare and submit progress and other reports
12011,Identify training needs and train workers in job duties and company policies
12011,Requisition supplies and materials
12011,Ensure smooth operation of computer systems and equipment and arrange for maintenance and repair work
12011,May perform the same duties as workers supervised.
12012,"Coordinate, assign and review the work of clerks engaged in the following duties: conducting surveys and interviews; collecting and compiling statistics; preparing and issuing licences, passports and other regulatory documents; reshelving books and performing other tasks in libraries; writing correspondence including e-mails and preparing material for translation and publication"
12012,Establish work schedules and procedures and coordinate activities with other work units or departments
12012,"Resolve work-related problems, monitor services provided by clerks and agents, and prepare and submit progress and other reports"
12012,Train workers in job duties and company policies
12012,Requisition supplies and materials
12012,Ensure smooth operation of computer systems and equipment and arrange for maintenance and repair work
12012,May perform the same duties as workers supervised.
12013,"Supervise, plan, assign and review the work of clerks engaged in the following duties: shipping, receiving, storing, distributing and maintaining inventories of materials, parts and products; processing purchasing transactions; coordinating production work; dispatching crews; scheduling transportation crews and routes; and other related activities"
12013,"Ensure compliance with policies, procedures for safety and security, standards and regulations in force and participate in their improvement"
12013,Resolve various problems and related complaints and implement corrective measures and process improvements
12013,Train workers in job duties
12013,Requisition supplies and materials
12013,"Ensure smooth operation of computer systems, equipment and machinery and arrange for maintenance and repair work"
12013,May conduct performance reviews of supervised workers
12013,May perform the same duties as workers supervised.
12100,"Establish and coordinate administrative policies and procedures for officials, committees and boards of directors"
12100,"Analyze incoming and outgoing memoranda, submissions and reports and prepare and coordinate the preparation and submission of summary briefs and reports to executives, committees and boards of directors"
12100,"Prepare agendas and make arrangements for committee, board and other meetings"
12100,"Conduct research, compile data, and prepare papers for consideration and presentation by executives, committees and boards of directors"
12100,"Meet with individuals, special interest groups and others on behalf of executives, committees and boards of directors to discuss issues and assess and recommend various courses of action"
12100,"Liaise with departmental and corporate officials and with other organizations and associations on behalf of executives, committees and boards of directors."
12101,"Identify current and prospective staffing requirements, prepare and post notices and advertisements, and collect and screen applications"
12101,Advise job applicants on employment requirements and on terms and conditions of employment
12101,"Review candidate inventories and contact potential applicants to arrange interviews and transfers, redeployment and placement of personnel"
12101,"Recruit graduates of colleges, universities and other educational institutions"
12101,Coordinate and participate in selection and examination boards to evaluate candidates
12101,Notify applicants of results of selection process and prepare job offers
12101,Advise managers and employees on staffing policies and procedures
12101,Organize and administer staff consultation and grievance procedures
12101,"Determine eligibility to entitlements, arrange staff training and provide information or services such as employee assistance, counselling and recognition programs"
12101,May manage and follow up on the opening of Occupational Health and Safety (OHS) files
12101,May supervise personnel clerks performing filing and record-keeping duties.
12102,Procurement agents and officers
12102,"Evaluate risk, assess, prepare forecasts, scenarios and other factors concerning the supply market, and write reports and recommendations"
12102,Provides research and input into the financial sourcing aspects of contracts and calls for tender when information is not readily available
12102,Identify high impact cost reduction opportunities
12102,"Leverage the organization’s buying power to optimize costs, access new suppliers, reduce lead times, and guarantee supply"
12102,Develop and maintain relationships with existing and potential buyers and suppliers to the organization
12102,Respond to customer service inquiries and clarify requirements and provide information as needed.
12102,Purchasing agents and officers
12102,"Purchase general and specialized equipment and materials, business services and land or access rights for use or for further processing by their establishment"
12102,"Assess requirements of an establishment and develop specifications for equipment, materials and supplies to be purchased"
12102,"Invite tenders, consult with suppliers and review quotations"
12102,"Determine or negotiate contract terms and conditions, award supplier contracts or recommend contract awards"
12102,"Establish logistics of delivery schedules, monitor progress and contact clients and suppliers to resolve problems"
12102,"Negotiate land acquisition or access rights for public or private use, and may conduct field investigations of properties"
12102,"May hire, train or supervise purchasing clerks."
12103,"Meet with trade and professional associations and other groups to promote and discuss conference, convention and trade show services"
12103,"Meet with sponsors and organizing committees to plan the scope and format of events, to establish and monitor budgets and to review administrative procedures and progress of events"
12103,"Coordinate services for events, such as accommodation and transportation for participants, conference and other facilities, catering, signage, displays, translation, special needs requirements, audio-visual equipment, printing and security"
12103,"Organize registration of participants, prepare programs and promotional material, and publicize events"
12103,Plan entertainment and social gatherings for participants
12103,"Hire, train and supervise support staff required for events"
12103,Ensure compliance with required by-laws
12103,"Negotiate contracts for services, approve suppliers' invoices, maintain financial records, review final billing submitted to clients for events and prepare reports."
12104.01,"Audit accounting records to determine income, exemptions, payable taxes, compliance with reporting regulations and existence of fraud"
12104.01,Examine accounting systems and internal controls of organizations
12104.01,Provide advice on reporting and evaluation methods for goods subject to taxation
12104.01,"Prepare briefs and assist in searching and seizing records, and in preparing charges for court cases."
12104.02,"Determine the eligibility of persons applying for government benefits such as Employment Insurance (EI), Canada Pension Plan (CPP) and Old Age Security (OAS)"
12104.02,Ascertain the facts on such issues as reasons for loss of employment and availability for work
12104.02,Monitor the payments of benefits and investigate claimants when there appears to be fraud or abuse.
12110.01,Record verbatim proceedings of courtroom using electronic stenograph machine or stenomask
12110.01,Respond to requests during court sessions to read back verbatim evidence
12110.01,Transcribe recorded proceedings in accordance with established formats
12110.01,Verify accuracy of transcripts by checking copy against original record of proceedings and accuracy of rulings by checking with judge
12110.01,Research and locate quotes to ensure accuracy
12110.01,"Respond to requests for transcripts ordered by judges, lawyers or the public"
12110.01,File and store shorthand notes of court session.
12110.02,"Transcribe recorded dictation in accordance with established formats or written documentation from medical reports, correspondence, health records and patient information"
12110.02,Proofread work for typographical and grammatical errors
12110.02,Edit transcripts for missing or incorrect content and formatting.
12111,Classify and code diseases according to an established classification system
12111,"Collect, code, cross-reference and store health records and related information"
12111,"Abstract, assemble and analyze clinical data and related demographic information from health records according to established policies and procedures"
12111,Operate information systems to maintain indexes for classification systems and to manage and retrieve health records information
12111,"Prepare medical, social and administrative statistics"
12111,Use and maintain software or information technology systems
12111,May implement and update health information systems and also provide support and training
12111,May supervise other health information management technicians and related workers.
12112,"Implement and update records classification, retention and disposal scheduling plans"
12112,"Classify, code, cross-reference, log and store records"
12112,Develop document inventories and maintain indexes for classification systems
12112,Operate information retrieval systems to research and extract records according to established guidelines in response to requests
12112,"Label, prepare and transfer information files according to established records management life-cycle procedures and schedules"
12112,Maintain access lists for security classified records
12112,Compile statistics and reports on activities within records management services.
12113,"Compile tables, charts, graphs and summarized statistics for integration in research papers and reports"
12113,Process data using statistical software to conduct basic analyses of trends in support of research activities
12113,"Collect, consolidate, cross-tabulate and format data from various sources to prepare draft reports for review by supervisors or researchers"
12113,Assist in collection and tracking of data from monitored use of services and provide information to management and client groups
12113,May prepare technical documents and monitoring reports on volumetrics and other trend analyses
12113,May supervise statistical and research support workers.
12200,"Keep financial records and establish, maintain and balance various accounts using manual and computerized bookkeeping systems"
12200,"Post journal entries and reconcile accounts, prepare trial balance of books, maintain general ledgers and prepare financial statements"
12200,"Calculate and prepare cheques for payrolls and for utility, tax and other bills"
12200,"Complete and submit tax remittance forms, workers' compensation forms, pension contribution forms and other government documents"
12200,Prepare tax returns and perform other personal bookkeeping services
12200,"Prepare other statistical, financial and accounting reports."
12201.01,Investigate circumstances surrounding insurance claims to determine validity of claim
12201.01,"Inspect automobile, home or other property damage"
12201.01,"Take statements and consult with claimants, accident witnesses, doctors and other relevant individuals and examine records or reports"
12201.01,Determine amount of loss or damages covered by insurance policies
12201.01,Negotiate settlement of claims
12201.01,Prepare adjustment reports.
12201.02,"Review, examine, calculate and authorize insurance claims investigated by insurance adjusters"
12201.02,Examine adjusters' reports and similar insurance claims or precedents to determine extent of insurance coverage
12201.02,Ensure claims are valid and settlements are made according to company practices and procedures
12201.02,"Consult lawyers, doctors or other relevant individuals to discuss insurance claims"
12201.02,"Approve automobile, fire, life, disability, dental or other insurance claims."
12202,"Review individual and group applications for automobile, fire, health, liability, life, property, marine, aircraft and other insurance"
12202,"Evaluate new and renewal applications to determine insurance risks, insurance premiums, extent of insurance coverage and other conditions of the insurance contract using medical reports, rate tables and other documents and reference materials; adjust premiums, coverage or risk itself to make acceptance of new and renewal applications possible"
12202,Approve sale of insurance policies and ensure compliance with government regulations
12202,Provide recommendations on individual or group insurance plan designs
12202,"Provide underwriting advice and answer inquiries from clients and from insurance agents, consultants and other company personnel"
12202,Prepare underwriting reports and update insurance forms when necessary.
12203.01,"Assess value of land, building, structures, machinery, equipment and property improvements for purposes of taxation, grants and regional planning and prior to sale or purchase"
12203.01,"Review and analyze data such as past sales, title searches, engineering and alignment maps, soil maps, subdivision plans, water and sewer plans, leasing cost data and easements"
12203.01,Explain assessment process to ratepayers.
12203.02,"Collect and analyze financial records of a business, such as financial statements, budgets, projections and sales data, to assess its competitiveness or to estimate its market value"
12203.02,"Prepare reports for estate planning, matrimonial litigation, insurance and business losses"
12203.02,"Appear as an expert witness before courts, security regulators and other regulatory boards and commissions."
12203.03,"Appraise value of property, building, industrial and commercial machinery and equipment and personal and household items"
12203.03,"Prepare appraisal reports for lending agencies, insurance companies, government departments, courts, attorneys, creditors, buyers or auctioneers."
13100,"Oversee and coordinate office administrative procedures and review, evaluate and implement new procedures"
13100,"Establish work priorities, delegate work to office support staff, and ensure deadlines are met and procedures are followed"
13100,Carry out administrative activities associated with admissions to post-secondary educational institutions
13100,Administer policies and procedures related to the release of records in processing requests under government access to information and privacy legislation
13100,"Coordinate and plan for office services, such as accommodation, relocations, equipment, supplies, forms, disposal of assets, parking, maintenance and security services"
13100,"Conduct analyses and oversee administrative operations related to budgeting, contracting and project planning and management processes"
13100,Assist in preparation of operating budget and maintain inventory and budgetary controls
13100,"Assemble data and prepare periodic and special reports, manuals and correspondence"
13100,May supervise records management technicians and related staff.
13101,Negotiate or approve rental or lease of various properties in a portfolio on behalf of property owners and ensure that terms of lease agreement are met
13101,"Prepare and administer contracts for provision of property services, such as cleaning and maintenance, security services and alarm systems"
13101,"Coordinate the implementation of repairs, maintenance and renovations carried out on buildings and monitor progress and cost of work for property owners"
13101,"Compile and maintain records on operating expenses and income, prepare reports and review rents to ensure they are at market value"
13101,Ensure that trouble calls received from clients or tenants are acted upon
13101,Administer damage deposits
13101,"May hire and supervise rental agents, property clerks, building superintendents or other support staff performing operational, clerical or maintenance duties."
13102,"Maintain and update employee information, such as records of employee attendance, leave and overtime to calculate pay and benefit entitlements, in Canadian and other currencies, using manual or computerized systems"
13102,"Prepare and verify statements of earnings for employees, indicating gross and net salaries and deductions such as taxes, union dues, garnishments and insurance and pension plans"
13102,"Prepare, verify and process all employee payroll related payments, including regular pay, benefit payments, and special payments such as bonuses and vacation pay"
13102,"Complete, verify and process forms and documentation for administration of benefits such as pension plans, leaves, share savings, employment and medical insurance"
13102,"Prepare payroll related filings and supporting documentation, such as year-end tax statements, pension, Records of Employment and other statements"
13102,"Provide information on payroll matters, benefit plans and collective agreement provisions"
13102,"Compile, review, and monitor statistical reports, statements, and summaries related to pay and benefits accounts"
13102,Prepare and balance period-end reports and reconcile issued payrolls to bank statements
13102,Identify and resolve payroll discrepancies
13102,"May be responsible for the development or implementation of payroll policies, procedures or processes."
13110,"Prepare, key in, edit and proofread correspondence, invoices, presentations, brochures, publications, reports and related material from machine dictation and handwritten copy"
13110,Open and distribute incoming regular and electronic mail and other material and coordinate the flow of information internally and with other departments and organizations
13110,Schedule and confirm appointments and meetings of employer
13110,Order office supplies and maintain inventory
13110,Answer telephone and electronic enquiries and relay telephone calls and messages
13110,Set up and maintain manual and computerized information filing systems
13110,Determine and establish office procedures
13110,"Greet visitors, ascertain nature of business and direct visitors to employer or appropriate person"
13110,Record and prepare minutes of meetings
13110,Arrange travel schedules and make reservations
13110,"May compile data, statistics and other information to support research activities"
13110,May supervise and train office staff in procedures and in use of current software
13110,May organize conferences.
13111,"Prepare and key in correspondence and legal documents, such as deeds, wills, affidavits and briefs, from handwritten copy, shorthand and machine dictation using computers"
13111,Review and proofread documents and correspondence to ensure compliance with legal procedures and grammatical usage
13111,"Schedule appointments, meetings and conferences for employer"
13111,"Set up and maintain filing systems, utilizing knowledge of legal records and procedures and frequently controlling confidential materials and documents"
13111,Open and distribute regular and electronic incoming mail and other material and coordinate the flow of information internally and with other departments or organizations
13111,Determine and establish office procedures and routines
13111,May supervise and train other staff in procedures and in the use of current software
13111,"May attend court, meetings or conferences to take notes, minutes and dictation"
13111,May perform other general office work as required including preparing financial statements.
13112,Schedule and confirm medical appointments and receive and communicate messages for medical staff and patients
13112,Enter and format electronically based medical reports and correspondence and prepare spreadsheets and documents for review
