Code de profil professionnel SIPeC,Enonce principal
10020.01,"Les directeurs des assurances financier planifient, organisent, dirigent, contrôlent et évaluent les activités d'entreprises ou d'établissements qui offrent des services en matière d'assurance.  Ils sont généralement responsables du développement des affaires et doivent faire en sorte que leurs groupes atteignent un certain rendement par rapport aux objectifs fixés."
10020.02,"Les directeurs de l'immobilier planifient, organisent, dirigent, contrôlent et évaluent les activités d'entreprises ou d'établissements qui offrent des services en matière d'immobilier.  Ils sont généralement responsables du développement des affaires et doivent faire en sorte que leurs groupes atteignent un certain rendement par rapport aux objectifs fixés."
10020.03,"Les directeurs du courtage financier planifient, organisent, dirigent, contrôlent et évaluent les activités d'entreprises ou d'établissements qui offrent des services en matière d'hypothèques. lls sont généralement responsables du développement des affaires et doivent faire en sorte que leurs groupes atteignent un certain rendement par rapport aux objectifs fixés."
10020.04,"Les directeurs des ventes de valeurs mobilières planifient, organisent, dirigent, contrôlent et évaluent les activités d'entreprises ou d’établissements qui offrent des services en matière de valeurs mobilières. Ils sont généralement responsables du développement des affaires et doivent faire en sorte que leurs groupes atteignent un certain rendement par rapport aux objectifs fixés."
10021.01,"Les directeurs de banques et d'autres services de placements planifient, organisent, dirigent, contrôlent et évaluent les activités des établissements financiers ou les services opérationnels de ceux-ci. Ils cultivent des relations d'affaires dans leur milieu de façon à promouvoir la vente de prêts, d'investissements et autres services bancaires afin d'attirer des particuliers et des représentants d'entreprises."
10021.02,"Les directeurs du crédit planifient, organisent, dirigent, contrôlent et évaluent les services de crédit dans les établissements industriels ou commerciaux. Ils examinent et analysent les demandes de prêts et de crédit, les garanties offertes et font des recommandations."
10022.01,"Les directeurs de la publicité planifient, organisent, dirigent, contrôlent et évaluent les activités d'établissements et de services de publicité dans les secteurs commerciaux, industriels et d'affaires électroniques."
10022.02,"Les directeurs du marketing planifient, organisent, dirigent, contrôlent et évaluent les activités d'établissements et de services voués au marketing dans les secteurs commerciaux, industriels et d'affaires électroniques."
10022.03,"Les directeurs des relations publiques planifient, organisent, dirigent, contrôlent et évaluent les activités d'établissements et de services voués aux relations publiques dans les secteurs commerciaux, industriels et d'affaires électroniques."
10022.04,"Les directeurs des affaires électroniques planifient, organisent, dirigent, contrôlent et évaluent les activités d'établissements et de services voués aux affaires électroniques dans les secteurs commerciaux et industriels."
10029.00,"Les directeurs d'entreprises de télécommunications planifient, organisent, dirigent, contrôlent et évaluent les opérations d'un établissement, d'un service ou d'une installation de télécommunications."
10030.00,"Les directeurs d'entreprises de télécommunications planifient, organisent, dirigent, contrôlent et évaluent les opérations d'un établissement, d'un service ou d'une installation de télécommunications."
11100.01,Les vérificateurs examinent et analysent les documents comptables et registres financiers de particuliers ou d'entreprises afin d'assurer l'exactitude des documents en accord avec les principes comptables généralement reconnus.
11100.02,"Les comptables planifient, organisent et administrent des systèmes de comptabilité pour des particuliers ou des entreprises. Les stagiaires des firmes de comptabilité sont inclut dans cette profession."
11101.01,"Les analystes financiers rassemblent et analysent de l'information financière comme les prévisions économiques, le volume d'échanges et les mouvements de capitaux, les résultats financiers des entreprises, le rendement antérieur et les tendances des actions, obligations et autres titres de placements sur le marché afin de donner des conseils financiers et de placements ou de financement aux établissements ou à leurs clients. Les études et évaluations qu'ils préparent traitent, entre autres, des sujets comme une offre d'achat public, un placement privé, une fusion ou une acquisition."
11101.02,"Les analystes en placements rassemblent et analysent de l'information financière comme les prévisions économiques, le volume d'échange et les mouvements de capitaux, les résultats financiers des entreprises, le rendement antérieur et les tendances des actions, obligations et autres titres de placements sur le marché, afin de donner des conseils de placements aux établissements et à leurs clients. Les études et évaluations qu'ils préparent traitent, entre autres, des sujets comme une offre d'achat public, un placement privé, une fusion ou une acquisition."
11102.00,"Les conseillers financiers fournissent des recommandations sur certaines décisions financières personnelles comme les investissements, la gestion des liquidités et la planification de la retraite. Ils établissent des plans financiers personnels en fonction des objectifs de leurs clients et les guident durant la mise en œuvre des stratégies proposées qui peuvent être ajustées à mesure que leur situation financière évolue."
11103.01,"Les agents en valeurs et les agents en placements achètent et vendent des actions, des obligations, des bons du Trésor, des fonds communs de placement et d'autres valeurs pour des investisseurs, des gestionnaires de caisses de retraite, des banques, des sociétés de fiducie, des compagnies d'assurances et d'autres établissements."
11103.02,"Les négociateurs en valeurs achètent et vendent des actions, des obligations, des biens, des devises étrangères et d'autres valeurs à la bourse au nom des agents en placements."
11109.01,Les inspecteurs et les vérificateurs financiers font la révision des documents des établissements financiers et de leurs services.
11109.02,Les investigateurs financiers font des enquêtes sur les pratiques des négociateurs de marchandises et de valeur mobilières et des autres fournisseurs de services financiers.
11109.03,"Les preneurs ferme fournissent des services reliés à l'émission de nouvelles actions, de nouvelles obligations et de nouvelles valeurs mobilières."
11109.04,"Les agents de fiducie administrent des comptes fiduciaires, dirigent des placements fiduciaires et déboursent des fonds en fiducie."
11109.05,Les courtiers en hypothèques dispensent des services destinés à l'obtention d'hypothèques.
11200.00,"Les professionnels en ressources humaines élaborent, appliquent et évaluent les politiques, les programmes et les procédures en matière de ressources humaines et de relations de travail, et renseignent les employeurs et les employés sur les questions relatives aux ressources humaines."
11201.00,"Les professionnels des services-conseils en gestion aux entreprises offrent leurs services à la direction dans des domaines tels que l'analyse de la structure, des opérations, de la gestion des méthodes ou des procédés de gestion de l'organisation afin de suggérer, de planifier et de mettre en place des améliorations."
11202.00,"Les professionnels en publicité, en marketing et en relations publiques analysent, élaborent et appliquent des stratégies de communication et de promotion et des programmes d'information, analysent les besoins en matière de publicité et élaborent des plans de publicité et de marketing, s'occupent de la publicité des activités et des événements et entretiennent des relations avec les médias au nom de commerces, de gouvernements et d'autres organisations, ainsi qu'au nom d'artistes, d'athlètes, d'écrivains et d'autres personnes de talent."
12010.00,"Les superviseurs de commis de bureau et du personnel de soutien administratif surveillent et coordonnent le travail des travailleurs des groupes intermédiaires suivants : (14.10) Personnel de soutien de bureau et des services judiciaries et (14.11) Personnel des enquêtes, des statistiques et de la saisie de données."
12011.00,"Les superviseurs de commis de finance et d'assurance surveillent et coordonnent les activités des travailleurs des groupes de base suivants : (13.102) Administrateurs/administratrices de la paye, (14.200) Commis à la comptabilité et personnel assimilé, (14.201) Commis de banque, d'assurance et d'autres services financiers et (14.202) Commis de recouvrement."
12012.00,"Les superviseurs de commis de bibliothèque, de correspondanciers et d'autres commis à l'information surveillent et coordonnent les activités des commis des groupes de base suivants : (14.110) Intervieweurs/intervieweuses pour enquêtes et commis aux statistiques, (14.300) Commis et assistants/assistantes dans les bibliothèques et (14.301) Correspondanciers/correspondancières et commis aux publications et aux règlements."
12013.00,"Les superviseurs du personnel de coordination de la chaîne d'approvisionnement, du suivi et des horaires supervisent le travail du personnel du groupe de base 13201 Coordonnateurs/coordonnatrices de la logistique de la production et du transport et du sous-grand groupe 144 Personnel en logistiques de chaîne d'approvisionnement, en suivi et en coordination d'horaires."
12100.00,"Les adjoints de direction coordonnent les procédures administratives ainsi que les activités de relations publiques, de recherche et d'analyse pour des députés, des ministres, des sous-ministres, des dirigeants et des cadres supérieurs, des comités et des conseils d'administration."
12101.00,"Les agents des ressources humaines et de recrutement identifient et affichent les postes vacants, recrutent les candidats et aident à la sélection et à l'affectation du personnel."
12102.00,"Les agents en approvisionnement et aux achats recherchent et achètent de l'équipement général et spécialisé, du matériel, des services commerciaux et des terrains ou des droits de passage qui seront utilisés ou transformés par leurs établissements."
12103.00,"Les planificateurs de congrès et d'événements planifient, organisent et coordonnent des conférences, des congrès, des réunions, des séminaires, des expositions, des foires commerciales, des festivals et d'autres événements spéciaux."
12104.01,Les agents de taxes d'accise administrent et appliquent les lois et les règlements sur les taxes d'accise.
12104.02,Les agents de services de prestations gouvernementales administrent et appliquent les lois et les règlements sur l'assurance-emploi et autres services de prestations gouvernementales.
12110.01,"Les sténographes judiciaires consignent et transcrivent les délibérations des tribunaux, des assemblées législatives ou des comités et préparent des transcriptions pour des juges, des tribunaux et des tableaux quasi judiciaires."
12110.02,"Les transcripteurs médicaux consignent, transcrivent et font la mise en forme des données dictées obtenues de médecins et d'autres professionnels du domaine de la santé, de procédures chirurgicales, de rapports liés à la santé et d'autres documents médicaux."
12111.00,"Le personnel en gestion de l'information sur la santé recueillent, codent, enregistrent, révisent et gèrent de l'information sur la santé. Le personnel en gestion de l'information sur la santé qui sont aussi superviseurs sont inclus dans ce groupe de base."
12112.00,"Les techniciens à la gestion des documents utilisent et entretiennent des systèmes pour la cueillette, la classification, l'extraction et la conservation de données, d'images, de documents et d'information."
12113.00,"Les agents de statistiques et travailleurs des professions connexes de soutien à la recherche fournissent des services de soutien statistique et de recherche à bon nombre d'entreprises et d'organisations. Ces travailleurs effectuent des routines de statistiques, suivent les tendances, compilent des données et préparent des tableaux, des graphiques, des résumés et des rapports à l'appui des besoins d'information organisationnelle et des activités de recherche. I"
12200.00,"Les techniciens en comptabilité et les teneurs de livres gèrent des séries complètes de livres, tiennent les registres des comptes, vérifient les méthodes utilisées pour comptabiliser les opérations financières et fournissent des services de tenue de livres à des particuliers."
12201.01,Les experts en sinistres examinent les circonstances qui entourent les sinistres et déterminent la valeur des pertes ou des dommages couverts par des polices d'assurance.
12201.02,Les rédacteurs sinistres examinent des demandes d'indemnisation et autorisent des paiements.
12202.00,Les assureurs étudient et évaluent les demandes d'assurance afin de déterminer les risques à couvrir et de fixer les primes ainsi que l'étendue des couvertures en fonction des politiques de la compagnie.
12203.01,"Les estimateurs déterminent la valeur de terrains, d'entreprises, de domaines et d'autres biens immobiliers, à des fins de vente, d'achat, d'imposition ou d'aliénation des actifs."
12203.02,"Les experts en évaluation d’entreprise quantifient la valeur d’une entreprise, de ses titres ou de ses actifs incorporels."
12203.03,"Les évaluateurs déterminent la valeur des biens, des bâtiments, de la machinerie et de l'équipement industriel et commerciaux, des effets personnels et des articles ménagers."
13100.00,"Les agents d'administration supervisent et mettent en oeuvre des procédures administratives, établissent l'ordre de priorité des tâches, font des analyses d'opérations administratives et coordonnent l'acquisition de services administratifs, tels que les locaux à bureaux, les fournitures et les services de sécurité. Ce groupe de base comprend les agents d'administration qui agissent en tant que superviseurs."
13101.00,"Les agents de gestion immobilière administrent et coordonnent les activités liées à la gestion et à la location de biens immeubles, au nom des propriétaires et des propriétaires de strata."
13102.00,"Les administrateurs de la paye rassemblent, vérifient et traitent des renseignements concernant la paye afin de déterminer la rémunération et les avantages sociaux à accorder aux employés, tiennent des registres de la paye précis et fournissent des informations relatives à la paye au sein d'un service, une entreprise ou autre organisme."
13110.00,Les adjoints administratifs effectuent des tâches administratives pour épauler les gestionnaires et les professionnels. I
13111.00,"Les adjoints administratifs juridiques effectuent diverses tâches administratives et de secrétariat dans des cabinets d'avocat, les services juridiques de grandes entreprises, les sociétés immobilières, les bureaux de cadastre, les gouvernements fédéral et provinciaux, les administrations municipales et les tribunaux."
13112.00,"Les adjoints administratifs médicaux effectuent diverses tâches de secrétariat et d'administration dans des cabinets de médecins, des centres hospitaliers, des cliniques médicales et d'autres milieux médicaux."
13200.01,"Les courtiers en douanes dédouanent les marchandises et les acheminent à destination, au nom de leurs clients importateurs et exportateurs."
13200.02,"Les courtiers maritimes achètent et vendent de l'espace à bord des cargos et achètent et vendent des navires, des yachts et autres embarcations à la demande de leurs clients."
13201.01,"Les coordonnateurs de la logistique de la production coordonnent et répartissent les tâches, les travaux et les matériaux sur leur lieu de travail, prépare les horaires de travail et de production et surveillent l’avancement des projets de production et de construction."
13201.02,Les coordonnateurs de la logistique du transport coordonnent et surveillent le mouvement des produits et veillent à ce que les produits soient expédiés et reçus dans les délais prévus.
14100.01,"Les employés de soutien de bureau généraux préparent de la correspondance, des rapports, des relevés et d'autres documents, se servent du matériel de bureau, répondent au téléphone, vérifient, enregistrent et traitent des formulaires et des documents tels que des contrats et des demandes, et effectuent diverses tâches générales de bureau conformément aux méthodes établies."
14100.02,"Les commis au classement classent du matériel, des dossiers, des documents et autres articles par sujet et selon d'autres systèmes de classement."
14101.01,"Les réceptionnistes accueillent les personnes qui se présentent dans les bureaux, les centres hospitaliers et d'autres établissements, dirigent les visiteurs vers la personne ou le service approprié, répondent au téléphone et acheminent les appels téléphoniques, prennent les messages, fixent les rendez-vous et exécutent d'autres tâches de bureau."
14101.02,Les employés à l'admission dans un hôpital accueillent les personnes qui se présentent dans les centres hospitaliers et obtiennent les renseignements voulus afin de les diriger vers les services médicaux appropriés.
14101.03,"Les standardistes et les téléphonistes au service des abonnés absents utilisent un standard ou un système téléphonique pour répondre, filtrer et acheminer les appels téléphoniques et fournissent des renseignements."
14101.04,Les téléphonistes se servent de réseaux téléphoniques pour acheminer et établir les communications téléphoniques.
14102.00,"Les commis des services du personnel aident les agents du personnel et les spécialistes des ressources humaines, et compilent, tiennent à jour et traitent des renseignements concernant la dotation, le recrutement, la formation, les relations de travail, les évaluations de rendement et la classification."
14103.00,"Les commis et autres professions des services judiciaires exercent des fonctions administratives, de sécurité et autres fonctions de soutien pour les tribunaux telles que la planification des procès, le traitement des frais de services, la convocation des tribunaux, la préparation des dossiers judiciaires et la tenue des pièces à conviction, l’enregistrement des procédures judiciaires et la tenue des dossiers judiciaires. Ils facilitent également la sécurité des tribunaux et la sécurité publique, assurent la liaison avec les organismes chargés de l’application des lois et fournissent un soutien à la magistrature."
14110.01,"Les intervieweurs pour enquêtes communiquent avec des personnes afin d'amasser de l'information pour des études de marché, des sondages d'opinion publique ou des recensements électoraux et de la population."
14110.02,"Les commis aux statistiques codent et compilent les données recueillies au cours d'entrevues et auprès d'autres sources pour rédiger des rapports, des listes, des annuaires et d'autres documents."
14111.00,"Les commis à la saisie de données saisissent des données codées, de l'information financière des statistiques et d'autres renseignements dans des bases de données informatisées, des tableurs ou d'autres modèles en utilisant des claviers, des souris, des numériseurs optiques, des logiciels de reconnaissance de la parole ou d'autres outils d'entrée de données."
14112.01,"Les opérateurs d'équipement d'éditique utilisent des logiciels et du matériel d'éditique pour concevoir, mettre en page et produire des copies prêtes à imprimer."
14112.02,Les préposés à la saisie et la sortie des données (composition) se servent d'un ordinateur pour saisir des textes dans un système de composition ou utilisent de l'équipement typographique de sortie pour produire des textes prêts à imprimer.
14200.00,"Les commis à la comptabilité et le personnel assimilé calculent, préparent et traitent des factures, des comptes fournisseurs et des comptes clients, des budgets et d'autres registres financiers conformément aux procédures établies."
14201.01,"Les commis de banque rassemblent, traitent et tiennent à jour les renseignements bancaires et portant sur d’autres questions financières."
14201.02,"Les commis d'assurance rassemblent, traitent et tiennent à jour des renseignements portant sur les assurances."
14201.03,"Les autres commis de services financiers rassemblent, traitent et tiennent à jour les renseignements financiers."
14202.00,Les commis de recouvrement recouvrent les comptes en souffrance et les chèques sans provision et recherchent les débiteurs pour convenir avec eux des modalités de paiement.
14300.00,"Les commis et les assistants dans les bibliothèques mettent en circulation et reçoivent les documents de la bibliothèque, trient les livres et les rangent sur les rayons, et fournissent des renseignements généraux aux usagers des bibliothèques. Ils exécutent également des tâches de bureau."
14301.01,"Les commis aux petites annonces prennent les commandes, calculent les taux, envoient les factures, rédigent et préparent les textes et exécutent d'autres tâches de soutien administratif."
14301.02,"Les correspondanciers rédigent de la correspondance, relisent les documents pour en vérifier l’exactitude et exécutent d'autres tâches de bureau connexes conformément aux méthodes, aux lignes directrices et aux calendriers établis."
14301.03,"Les correcteurs d'épreuves et les adjoints à la rédaction aident à la préparation des périodiques, des annonces publicitaires, des catalogues, des annuaires et d'autre matériel destiné à la publication en effectuant des recherches, en vérifiant les faits et en détectant les erreurs grammaticales, typographiques ou de composition."
14301.04,"Les lecteurs de manuscrits et les préposés aux coupures de journaux lisent des journaux, des magazines, des communiqués de presse et d'autres publications afin de trouver, de classer et de distribuer des articles et ils exécutent d'autres tâches de bureau connexes conformément aux méthodes, aux lignes directrices et aux calendriers établis."
14301.05,"Les commis aux règlements compilent, vérifient, consignent, et traitent des demandes, des permis, des licences, des contrats, des immatriculations, des bons de commande et d'autres formulaires et documents conformément aux méthodes et aux lignes directrices, à l'aide des systèmes de traitement; autorisent et émettent des permis, des licences, des papiers d'immatriculation, des remboursements et d'autres documents une fois les demandes traitées et approuvées."
14400.00,"Les expéditeurs et les réceptionnaires expédient, reçoivent et enregistrent le roulement des pièces, des fournitures, de l'équipement et du stock de l'établissement."
14401.00,"Les magasiniers et les commis aux pièces trient, entreposent et expédient des pièces et des fournitures pour l'établissement où ils travaillent et pour la vente au public.  Ce groupe inclus aussi les apprentis."
14402.00,"Les travailleurs de la logistique de la production répartissent les tâches, les travaux et les matériaux sur leur lieu de travail et préparent la marchandise en vue de la livraison. I"
14403.01,"Les commis aux achats traitent les transactions d'achat, résolvent les problèmes d'approvisionnement, préparent les dossiers, les rapports et les listes de prix et tiennent les dossiers à jour."
14403.02,"Les commis au contrôle de l'inventaire compilent et tiennent l'inventaire du matériel, de l'équipement et des stocks et contrôlent les niveaux de l'inventaire."
14404.00,"Les répartiteurs font fonctionner des radios et d'autre équipement de télécommunication, afin de répartir les véhicules d'urgence et de coordonner les activités des chauffeurs et de tout autre personnel. Ils travaillent pour des services de police, d'incendie et de santé publique, pour d'autres agences de services d'urgence, des services de taxi, de messageries et de livraison, des entreprises de camionnage et des services d'utilité publique, et d'autres établissements commerciaux et industriels."
14405.00,"Les horairistes de trajets et d'équipages établissent les horaires des mouvements des véhicules de transport, des équipages et des opérateurs des véhicules de transport."
20010.00,"Les directeurs de services d'ingénierie planifient, organisent, dirigent, contrôlent et évaluent les activités d'un département, d'un service ou d'une entreprise d'ingénierie."
20011.01,"Les directeurs des services d’architecture et d’urbanisme planifient, organisent, dirigent, contrôlent et évaluent les activités et le fonctionnement des services d'urbanisme ou d'entreprises d'architecture. Ils élaborent et mettent en œuvre des politiques, des normes et des directives pour l'exécution des travaux d'architecture et d'urbanisme effectués par le service ou l'entreprise."
20011.02,"Les directeurs de service des sciences planifient, organisent, dirigent, contrôlent et évaluent les activités de recherche, de développement ou de production d'un laboratoire ou d'une entreprise de recherche et développement scientifique. Ils élaborent et mettent en œuvre des politiques, des normes et des procédures pour l’exécution des travaux scientifiques et techniques effectués dans le laboratoire, le département, le service ou l'entreprise."
20012.00,"Les gestionnaires de systèmes informatiques planifient, organisent, dirigent, contrôlent et évaluent les activités d'organisations qui analysent, conçoivent, mettent au point, mettent en exploitation, font fonctionner et administrent des logiciels informatiques et de télécommunications, des réseaux et des systèmes informatiques."
21100.01,"Les physiciens font de la recherche théorique et appliquée pour augmenter la connaissance des phénomènes naturels et mettre au point de nouvelles méthodes et de nouveaux appareils dans des domaines tels que l'électronique, les communications, la production et la distribution d'énergie, l'aérodynamique, l'optique et la physique des lasers, la télédétection, la biotechnologie, la médecine et la santé."
21100.02,Les astronomes font de l'observation et de la recherche théorique pour améliorer la connaissance de l'univers.
21101.00,"Les chimistes font de la recherche et des analyses qui se rapportent à des opérations industrielles, à l'élaboration de procédés et de produits, au contrôle de la qualité, à la surveillance du milieu, aux diagnostics et traitements médicaux, à la biotechnologie, aux nanotechnologies, ainsi qu'à d'autres applications. Ils font également de la recherche théorique, expérimentale et appliquée sur des procédés chimiques et biochimiques de base afin de créer ou de synthétiser de nouveaux produits ou procédés."
21102.01,"Les géoscientifiques incluent les géologues, les géochimistes et les géophysiciens qui exécutent des programmes d'exploration et de recherche qui visent à approfondir la connaissance de la structure, de la composition et des processus de la terre, à localiser, à identifier et à extraire des ressources en hydrocarbures, en minéraux et de la nappe phréatique, et à évaluer et à atténuer les effets des projets de développement et d'enlèvement des déchets sur l'environnement."
21102.02,"Les océanographes mènent des programmes d'exploration et de recherche sur les phénomènes et les processus océaniques, les caractéristiques biologiques, chimiques et physiques des océans, les interactions entre les océans et les environnements atmosphériques et géologiques, et les impacts qu'a l'activité humaine sur les écosystèmes océaniques et marins."
21103.00,"Les météorologistes et les climatologues font des analyses et des prévisions météorologiques, donnent des consultations sur les phénomènes atmosphériques et effectuent des recherches qui portent sur les processus et les phénomènes météorologiques, climatiques et atmosphériques."
21109.01,Les métallurgistes font de la recherche théorique et appliquée en métallurgie.
21109.02,"Les spécialistes des matériaux font de la recherche théorique et appliquée sur les propriétés, la composition et la production de matériaux."
21109.03,Les scientifiques en science du sol font de la recherche théorique et appliquée en science du sol.
21109.04,"Les astronautes commandent, pilotent ou servent en tant que membre de l'équipage à bord d'astronefs afin de mener de la recherche et des expérimentations, et participent à des missions spatiales à titre de spécialistes de mission afin de veiller à l'entretien des astronefs, de réparer et d'installer de l'équipement sur la station spatiale, et de lancer et de récupérer des satellites."
21110.01,"Les biologistes font des recherches de base et des recherches appliquées pour approfondir les connaissances sur les organismes vivants, gérer les ressources naturelles et mettre au point des nouvelles pratiques et des nouveaux produits dans les domaines de la médecine et de l'agriculture."
21110.02,"Les microbiologistes et les biologistes moléculaires font de la recherche de base et appliquée pour approfondir les connaissances sur les micro-organismes vivants, gérer les ressources naturelles et pour mettre au point des nouvelles pratiques et des nouveaux produits dans les domaines de la médecine et de l'agriculture."
21111.00,"Les professionnels des sciences forestières dirigent des travaux de recherche, élaborent des plans et administrent et dirigent des programmes reliés à la gestion et à l'exploitation des ressources forestières."
21112.00,"Les agronomes, les conseillers et les spécialistes en agriculture conseillent et aident les exploitants agricoles dans tous les aspects de la gestion agricole, soit les cultures, la fertilisation, les récoltes, l'érosion et la composition des sols, la prévention des maladies, la nutrition, la rotation des cultures et la commercialisation."
21120.00,"Les professionnels de la santé et sécurité publique et environnementale examinent, évaluent et contrôlent les dangers pour la santé et la sécurité et élaborent des stratégies pour prévenir, contrôler et éliminer les maladies humaines et les impacts environnementaux causés par des facteurs biologiques et chimiques. Ils inspectent les restaurants, les établissements industriels, les systèmes d'aqueducs municipaux, les installations publiques, et d’autres institutions afin d'assurer le respect des normes gouvernementales relatives aux systèmes sanitaires, au contrôle de la pollution, à la manipulation et à l'entreposage de substances dangereuses."
21200.00,"Les architectes conceptualisent, planifient et élaborent des devis pour la construction et la rénovation de bâtiments commerciaux, institutionnels et résidentiels."
21201.00,"Les architectes paysagistes conçoivent, élaborent, planifient et gèrent la construction d'aménagements paysagers naturels, culturels et bâtis pour des projets commerciaux, des complexes à bureaux, des parcs, des terrains de golf et des projets résidentiels."
21202.00,"Les urbanistes et planificateurs de l'utilisation des sols élaborent des plans et recommandent des politiques pour l'utilisation des sols, des installations et des services connexes dans les zones urbaines et rurales et dans les régions éloignées."
21203.00,"Les arpenteurs-géomètres planifient, organisent et dirigent l'exécution de levés officiels afin d'établir l'emplacement des limites des propriétés, les contours et autres caractéristiques naturelles ou artificielles, et ils préparent et tiennent à jour les vues en coupe, les plans officiels, les dossiers et les documents qui se rapportent à ces levés."
21210.01,"Les mathématiciens font de la recherche théorique en mathématiques, élaborent des techniques mathématiques et les appliquent pour résoudre des problèmes relevant de la science, du génie, du commerce et des sciences sociales."
21210.02,"Les statisticiens font de la recherche théorique en statistiques, élaborent des techniques statistiques et les appliquent pour résoudre des problèmes relevant de la science, du génie, du commerce et des sciences sociales."
21210.03,"Les actuaires appliquent les principes des mathématiques, de la statistique, des probabilités et de la théorie du risque pour évaluer l'incidence financière éventuelle de circonstances futures."
21211.00,"Les scientifiques des données utilisent des technologies analytiques avancées, notamment l'apprentissage automatique et la modélisation prédictive, pour identifier les tendances, extraire des informations de sources de données non structurées et fournir des recommandations automatisées."
21220.00,"Les spécialistes de la cybersécurité élaborent, planifient, recommandent, mettent en œuvre, améliorent et surveillent les mesures de sécurité visant à protéger les réseaux informatiques, les dispositifs connectés et l'information d'une organisation afin d'empêcher tout accès, utilisation, divulgation, perturbation, modification ou destruction non autorisés de l'information ou des systèmes dans lesquels elle se trouve. I"
21221.00,"Les spécialistes des systèmes commerciaux effectuent des tests détaillés des systèmes, produisent des rapports et développent de nouvelles architectures de systèmes. Ils doivent également identifier les objectifs stratégiques d'une entreprise et traduiront ces objectifs en tâches réalisables pour le département informatique d'une organisation."
21222.00,"Les spécialistes en informatique analysent et évaluent les besoins informatiques, conçoivent et mettent en oeuvre les systèmes informatiques, les procédures et les lignes directrices et élaborent des recommandations sur un large éventail de problèmes liés aux systèmes informatiques."
21223.01,"Les analystes de bases de données conçoivent, élaborent et gèrent les solutions intégrées de gestion de données."
21223.02,"Les administrateurs de données mettent au point et mettent en oeuvre les lignes directrices, les procédures et les modèles de gestion de données."
21230.00,"Les développeurs et les programmeurs de systèmes informatiques écrivent, modifient, intègrent et mettent à l'essai le code informatique pour des applications logicielles, des applications de traitement de données, des logiciels de systèmes d'exploitation et des logiciels de communication."
