Code de profil professionnel SIPeC,Exigences d'emploi
10011.00,"Un baccalauréat dans un domaine relié à la gestion du personnel tel que l'administration des affaires, les relations industrielles, le commerce ou la psychologie oula réalisation d'un programme de perfectionnement professionnel en gestion du personnel est exigé."
10011.00,Plusieurs années d'expérience comme agent du personnel ou spécialiste des ressources humaines sont exigées.
10011.00,Certains employeurs peuvent exiger le titre de conseiller en ressources humaines agréé (CRHA).
10012.00,"Un baccalauréat ou un diplôme d'études collégiales en gestion des affaires, en commerce ou en économie est habituellement exigé."
10012.00,"Un diplôme d'études dans une discipline connexe peut être exigé des directeurs des achats responsables d'achats de matériel ou de services commerciaux spécialisés. Par exemple, un baccalauréat ou un diplôme d'études collégiales en génie peut être exigé des directeurs des achats responsables de produits industriels."
10012.00,Le titre de professionnel en gestion de la chaîne d'approvisionnement (p.g.c.a.) ou l'inscription au programme d'études offert par l'Association de la gestion de la chaîne d'approvisionnement peut être exigé.
10012.00,Plusieurs années d'expérience en tant qu'agent aux achats sont exigées.
10019.00,Un baccalauréat ou un diplôme d'études collégiales en gestion des affaires ou dans un domaine connexe des services administratifs est habituellement exigé.
10019.00,"Plusieurs années d'expérience, à un niveau professionnel, en gestion des affaires, de la finance ou des services administratifs sont habituellement exigées."
10019.00,"Les titres professionnels « Associate of the Institute of the Chartered Secretaries and Administrators (ACIS), Fellow of the Institute of Chartered Secretaries and Administrators (FCIS) ou Professional Administrator (P. Adm) » peuvent être exigés dans certaines professions de ce groupe."
10019.00,L'obtention d'un certificat en gestion d'information sur la santé de l'Association canadienne interprofessionnelle des dossiers de santé peut être exigée.
10019.00,"Au Québec, l'accréditation de l'Association québécoise des archivistes médicales peut être exigée."
10019.00,Les greffiers judiciaires employés par les tribunaux supérieurs peuvent exiger des titres de compétence judiciaire.
10020.01,"Un diplôme d'études universitaires ou collégiales en administration des affaires, en économie ou dans un domaine connexe est habituellement exigé."
10020.01,Plusieurs années d'expérience au sein de l'industrie visée sont habituellement exigées.
10020.01,"Un permis relié au service offert tel que le courtage en immobilier, le courtage en hypothèques, le courtage en valeurs mobilières ou le courtage en assurance, peut être exigé."
10020.01,"Dans l'industrie de l'assurance, une désignation professionnelle reconnue est habituellement exigée."
10020.02,"Un diplôme d'études universitaires ou collégiales en administration des affaires, en économie ou dans un domaine connexe est habituellement exigé."
10020.02,Plusieurs années d'expérience au sein de l'industrie visée sont habituellement exigées.
10020.02,"Un permis relié au service offert tel que le courtage en immobilier, le courtage en hypothèques, le courtage en valeurs mobilières ou le courtage en assurance, peut être exigé."
10020.02,"Un titre professionnel reconnu en finance peut être exigé dans les domaines de l’investissement et des ventes de valeurs mobilières (CFA, CFP, CIM, ou autres)."
10020.03,"Un diplôme d'études universitaires ou collégiales en administration des affaires, en économie ou dans un domaine connexe est habituellement exigé."
10020.03,Plusieurs années d'expérience au sein de l'industrie visée sont habituellement exigées.
10020.03,"Un permis relié au service offert tel que le courtage en immobilier, le courtage en hypothèques, le courtage en valeurs mobilières ou le courtage en assurance, peut être exigé."
10020.03,"Un titre professionnel reconnu en finance peut être exigé dans les domaines de l’investissement et des ventes de valeurs mobilières (CFA, CFP, CIM, ou autres)."
10020.04,"Un diplôme d'études universitaires ou collégiales en administration des affaires, en économie ou dans un domaine connexe est habituellement exigé."
10020.04,Plusieurs années d'expérience au sein de l'industrie visée sont habituellement exigées.
10020.04,"Un permis relié au service offert tel que le courtage en immobilier, le courtage en hypothèques, le courtage en valeurs mobilières ou le courtage en assurance, peut être exigé."
10020.04,"Un titre professionnel reconnu en finance peut être exigé dans les domaines de l’investissement et des ventes de valeurs mobilières (CFA, CFP, CIM, ou autres)."
10021.01,"Un diplôme d'études universitaires ou collégiales en administration des affaires, en sciences commerciales, en économie ou dans un domaine connexe est habituellement exigé."
10021.01,"Une maîtrise en administration des affaires, en finance ou en sciences de la gestion peut être exigée pour la gestion de prêts commerciaux de grande envergure."
10021.01,"Un titre professionnel reconnu en finance peut être exigé (CFA, CFP, CIM ou autres)."
10021.01,La participation à un programme de formation en gestion interne ou externe est habituellement exigée.
10021.01,"Plusieurs années d'expérience dans le domaine, y compris de l'expérience en supervision, sont exigées."
10021.02,"Un diplôme d'études universitaires ou collégiales en administration des affaires, en sciences commerciales, en économie ou dans un domaine connexe est habituellement exigé."
10021.02,"Une maîtrise en administration des affaires, en finance ou en sciences de la gestion peut être exigée pour la gestion de prêts commerciaux de grande envergure."
10021.02,"Un titre professionnel reconnu en finance peut être exigé (CFA, CFP, CIM ou autres)."
10021.02,La participation à un programme de formation en gestion interne ou externe est habituellement exigée.
10021.02,"Plusieurs années d'expérience dans le domaine, y compris de l'expérience en supervision, sont exigées."
10022.01,"Un diplôme d'études universitaires ou collégiales en communications, en relations publiques, en marketing, en journalisme ou dans un domaine connexeetplusieurs années d'expérience en tant qu'agent de publicité, de relations publiques ou de communications sont exigés."
10022.02,"Un diplôme d'études universitaires ou collégiales en administration des affaires ou dans un domaine connexe, avec spécialisation dans la vente ou le marketing etplusieurs années d'expérience comme représentant des ventes, du marketing ou des relations publiques ou dans un emploi connexe sont exigés."
10022.03,"Un diplôme d'études universitaires ou collégiales en communications, en relations publiques, en marketing, en journalisme ou dans un domaine connexeetplusieurs années d'expérience en tant qu'agent de publicité, de relations publiques ou de communications sont exigés."
10022.04,"Un diplôme d'études universitaires ou collégiales dans un domaine associé aux affaires électroniques, au développement du contenu des sites Web ou aux services Internet et mobilesetde l'expérience en conception de sites Web, en développement de médias interactifs, en administration de données ou en analyse de systèmes informatiques, ou encore de l'expérience liée au contenu de sites Web sont habituellement exigés."
10029.00,Un baccalauréat ou un diplôme d'études collégiales dans un domaine relié aux services aux entreprises est habituellement exigé.
10029.00,Plusieurs années d'expérience dans un domaine relié aux services aux entreprises sont habituellement exigées.
10029.00,"Un permis, un certificat ou une affiliation peut être exigé de certains directeurs de services aux entreprises. Par exemple, les directeurs de firmes comptables doivent habituellement avoir un certificat en comptabilité."
10029.00,Des études universitaires en administration des affaires peuvent être exigées.
10030.00,"Un diplôme d'études universitaires en sciences, en génie électrique ou dans un domaine connexe est habituellement exigé."
10030.00,"Plusieurs années d'expérience dans une profession technique connexe, y compris de l'expérience de supervision, sont habituellement exigées."
11100.01,"Les exigences de scolarité, de formation et de reconnaissance professionnelle applicables aux comptables professionnels agréés, comptables agréés (CPA, CA), aux comptables professionnels agréés, comptables généraux licenciés (CPA, CGA) et aux comptables professionnels agréés, comptables en management accrédités (CPA, CMA)etde l'expérience en tant que comptable sont exigées des vérificateurs."
11100.01,La reconnaissance par l'Institut des vérificateurs internes peut être exigée des vérificateurs.
11100.01,Les vérificateurs et les comptables désirant agir à titre de liquidateurs de faillite doivent obtenir une licence de syndic de faillite.
11100.01,"Un permis, émis par l'organisme directeur de la province ou du territoire, est habituellement exigé des comptables et des vérificateurs en comptabilité publique."
11100.02,"Un diplôme d'études universitairesetla réussite d'un programme de formation professionnelle approuvé par une association provinciale de comptables agréés, assortie d'une formation en milieu de travail de deux ans ou de 30 mois selon les exigences provincialesetl'adhésion à une association provinciale de comptables agréés après avoir réussi avec succès l'Évaluation uniforme (EFU) sont exigés des comptables professionnels agréés, comptables agréés (CPA, CA)."
11100.02,"Un diplôme d'études universitaires etla réussite d'un programme de formation approuvé, assortie de plusieurs années de formation en milieu de travail etl'accréditation d'une organisation provinciale ou régionale, sont exigés des comptables professionnels agréés, comptables généraux licenciés (CPA, CGA) et des comptables professionnels agréés, comptables en management accrédités (CPA, CMA)."
11100.02,Les vérificateurs et les comptables désirant agir à titre de liquidateurs de faillite doivent obtenir une licence de syndic de faillite.
11100.02,"Un permis, émis par l'organisme directeur de la province ou du territoire, est habituellement exigé des comptables et des vérificateurs en comptabilité publique."
11101.01,"Un diplôme d'études universitaires en commerce, en administration des affaires, en comptabilité, en finance ou en économie etune formation en cours d'emploi ainsi que des cours et des programmes en milieu industriel sont habituellement exigés."
11101.01,"Un diplôme de 2e cycle, comme une maîtrise en administration des affaires (M.B.A.) (option finances) ou une maîtrise en finance, peut être exigé."
11101.01,"Le titre de Chartered Financial Analyst (CFA), offert par l’Institut CFA, ou un autre titre professionnel reconnu en finance (CFP, CIM ou autres) est habituellement exigé."
11101.01,"D'autres titres, comme celui de Comptable Professionnel Agréé (CPA) et de Certified Treasury Professional (CTP), peuvent être exigés par certains employeurs."
11101.02,"Un diplôme d'études universitaires en commerce, en administration des affaires, en comptabilité, en finance ou en économie etune formation en cours d'emploi ainsi que des cours et des programmes en milieu industriel sont habituellement exigés."
11101.02,"Un diplôme de 2e cycle, comme une maîtrise en administration des affaires (M.B.A.) (option finances) ou une maîtrise en finance, peut être exigé."
11101.02,"D'autres titres, comme celui de Comptable Professionnel Agréé (CPA) et de Certified Treasury Professional (CTP), peuvent être exigés par certains employeurs."
11102.00,"Un diplôme d'études universitaires en administration des affaires, en commerce, en économie ou dans un domaine connexe est habituellement exigé."
11102.00,"La certification de Planificateur financier, décerné par le Conseil relatif aux standards des planificateurs financiers du Canada, peut être exigée."
11102.00,"Un permis provincial est exigé pour vendre des produits financiers réglementés, tels que régime des rentes, RÉER et assurance-vie."
11102.00,La certification de planificateur financier est exigée au Québec.
11102.00,"Divers cours et programmes de formation sont offerts par les institutions et organisations, telles que l'Institut canadien des valeurs mobilières, l'Institut des banquiers canadiens, l'Institut CFA, l'Institut des fonds d'investissement du Canada, l'Institut canadien de planification financière et l'Institut des compagnies de fiducie du Canada, et peuvent être exigés par l'employeur."
11103.01,"Un diplôme d'études universitaires de 1er ou 2e cycle en économie, en administration des affaires ou dans une autre discipline est habituellement exigé."
11103.01,"Un titre professionnel reconnu en finance peut être exigé (CFA, CFP, CIM ou autres)."
11103.01,"La réalisation de programmes de formation en placements et en ventes dans l'industrie, la réussite d’un cours menant à l’obtention d’un permis comme le Cours sur le commerce des valeurs mobilières au Canada et la réussite au Cours relatif au manuel sur les normes de conduite offerts par l'Institut canadien des valeurs mobilières, ou une alternative reconnue comme la complétion d’un niveau ou plus du programme CFA offert par l’Institut CFA, sont exigées des représentants en valeurs et des négociateurs en valeurs."
11103.01,"Des cours spécialisés sont également offerts aux représentants en valeurs et aux négociateurs en valeurs qui veulent négocier des produits de placement en particulier, tels que les options en valeurs mobilières et les contrats à terme."
11103.01,"Un permis d'exercice émis par la commission provinciale des valeurs mobilières de la province d'emploi ou une organisation auto-réglementée reconnue est exigé des agents en valeurs, des agents en placements et des négociateurs en valeurs."
11103.02,"Un diplôme d'études universitaires de 1er ou 2e cycle en économie, en administration des affaires ou dans une autre discipline est habituellement exigé."
11103.02,"Un titre professionnel reconnu en finance peut être exigé (CFA, CFP, CIM ou autres)."
11103.02,"La réalisation de programmes de formation en placements et en ventes dans l'industrie, la réussite d’un cours menant à l’obtention d’un permis comme le Cours sur le commerce des valeurs mobilières au Canada et la réussite au Cours relatif au manuel sur les normes de conduite offerts par l'Institut canadien des valeurs mobilières, ou une alternative reconnue comme la complétion d’un niveau ou plus du programme CFA offert par l’Institut CFA, sont exigées des représentants en valeurs et des négociateurs en valeurs."
11103.02,"Des cours spécialisés sont également offerts aux représentants en valeurs et aux négociateurs en valeurs qui veulent négocier des produits de placement en particulier, tels que les options en valeurs mobilières et les contrats à terme."
11103.02,"Un permis d'exercice émis par la commission provinciale des valeurs mobilières de la province d'emploi ou une organisation auto-réglementée reconnue est exigé des agents en valeurs, des agents en placements et des négociateurs en valeurs."
11109.01,"Un diplôme d'études universitaires en administration des affaires, en commerce, en économie ou dans un domaine connexe est habituellement exigé."
11109.01,"Divers cours et programmes de formation sont offerts par les institutions et organisations, telles que l'Institut canadien des valeurs mobilières, l'Institut des banquiers canadiens, l'Institut CFA, l'Institut des fonds d'investissement du Canada et l'Institut des compagnies de fiducie du Canada, et peuvent être exigés par l'employeur."
11109.01,"Un titre professionnel reconnu en finance peut être exigé (CFA, CIM ou autres)."
11109.01,Un titre de comptable reconnu peut être exigé des inspecteurs et des vérificateurs financiers.
11109.02,"Un diplôme d'études universitaires en administration des affaires, en commerce, en économie ou dans un domaine connexe est habituellement exigé."
11109.02,"Divers cours et programmes de formation sont offerts par les institutions et organisations, telles que l'Institut canadien des valeurs mobilières, l'Institut des banquiers canadiens, l'Institut CFA, l'Institut des fonds d'investissement du Canada et l'Institut des compagnies de fiducie du Canada, et peuvent être exigés par l'employeur."
11109.02,"Un titre professionnel reconnu en finance peut être exigé (CFA, CIM ou autres)."
11109.03,"Un diplôme d'études universitaires en administration des affaires, en commerce, en économie ou dans un domaine connexe est habituellement exigé."
11109.03,"Divers cours et programmes de formation sont offerts par les institutions et organisations, telles que l'Institut canadien des valeurs mobilières, l'Institut des banquiers canadiens, l'Institut CFA, l'Institut des fonds d'investissement du Canada et l'Institut des compagnies de fiducie du Canada, et peuvent être exigés par l'employeur."
11109.03,"Un titre professionnel reconnu en finance peut être exigé (CFA, CIM ou autres)."
11109.04,"Un diplôme d'études universitaires en administration des affaires, en commerce, en économie ou dans un domaine connexe est habituellement exigé."
11109.04,"Divers cours et programmes de formation sont offerts par les institutions et organisations, telles que l'Institut canadien des valeurs mobilières, l'Institut des banquiers canadiens, l'Institut CFA, l'Institut des fonds d'investissement du Canada et l'Institut des compagnies de fiducie du Canada, et peuvent être exigés par l'employeur."
11109.04,"Un titre professionnel reconnu en finance peut être exigé (CFA, CIM ou autres)."
11109.05,"Un diplôme d'études universitaires en administration des affaires, en commerce, en économie ou dans un domaine connexe est habituellement exigé."
11109.05,"Divers cours et programmes de formation sont offerts par les institutions et organisations, telles que l'Institut canadien des valeurs mobilières, l'Institut des banquiers canadiens, l'Institut CFA, l'Institut des fonds d'investissement du Canada et l'Institut des compagnies de fiducie du Canada, et peuvent être exigés par l'employeur."
11109.05,"Un titre professionnel reconnu en finance peut être exigé (CFA, CIM ou autres)."
11109.05,"Un permis de courtier en hypothèques est exigé des courtiers en hypothèques en Colombie-Britannique, en Alberta, en Saskatchewan, au Manitoba, en Ontario, au Québec, au Nouveau-Brunswick, à Terre-Neuve-et-Labrador et en Nouvelle-Écosse."
11200.00,"Un diplôme d'études universitaires ou collégiales dans un domaine relié à la gestion des ressources humaines, tel que l'administration des affaires, les relations industrielles, le commerce ou la psychologie ouune formation acquise dans le cadre d'un programme de perfectionnement professionnel en gestion des ressources humaines est exigé."
11200.00,Certains employeurs peuvent exiger le titre de conseiller en ressources humaines agréé (CRHA).
11201.00,"Un baccalauréat ou un diplôme d'études collégiales en administration des affaires, en commerce ou une discipline connexe est habituellement exigé."
11201.00,Un diplôme d'études supérieures en administration des affaires peut être exigé.
11201.00,Certains établissements peuvent exiger l'accréditation par une association provinciale de consultants en gestion.
11201.00,L'accréditation en tant que vérificateur de la qualité peut être exigée dans certaines des professions incluses dans ce groupe de base.
11201.00,L'accréditation de l'Association canadienne interprofessionnelle du dossier de santé peut être exigée des professions de conseils en gestion de l'information en matière de santé.
11202.00,"Un diplôme d'études universitaires ou collégiales en commercialisation dans les entreprises, en relations publiques, en communications, en journalisme, en muséologie ou dans une discipline reliée à un sujet particulier est habituellement exigé."
11202.00,Les professionnels des relations publiques peuvent devoir être Agréés en relations publiques (ARP).
12010.00,Un diplôme d'études secondaires est exigé.
12010.00,Des cours collégiaux apparentés au domaine supervisé sont habituellement exigés.
12010.00,De l'expérience dans le domaine supervisé est habituellement exigée.
12011.00,"Un diplôme d'études collégiales ou des cours en tenue de livres, en comptabilité ou dans une matière connexe sont exigés."
12011.00,De l'expérience en travail de bureau reliée aux fonctions supervisées est exigée.
12012.00,Un diplôme d'études secondaires est exigé.
12012.00,Des cours collégiaux apparentés au domaine supervisé peuvent être exigés.
12012.00,De l'expérience en travail de bureau reliée aux fonctions supervisées est habituellement exigée.
12013.00,"Un programme d'enseignement postsecondaire de deux à trois ans en gestion d'entreprise, de chaîne d'approvisionnement, de production ou de fabrication ou dans un domaine connexe est généralement exigé."
12013.00,Plusieurs années d'expérience dans le poste supervisé sont habituellement exigées.
12100.00,Un diplôme d'études secondaires est exigé.
12100.00,"Un baccalauréat en administration publique, en sciences politiques ou dans une discipline connexe est habituellement exigé."
12100.00,De l'expérience dans un poste administratif connexe est habituellement exigée.
12101.00,"Un diplôme d'études collégiales dans un domaine relié à la gestion du personnel tel que l'administration des affaires, les relations industrielles, le commerce ou un programme de perfectionnement professionnel en gestion du personnel est habituellement exigé."
12101.00,L'accréditation en tant que Conseiller en ressources humaines agréé (CRHA) peut être exigée.
12101.00,Une certaine expérience dans un poste administratif ou de travail de bureau relié à l'administration peut être exigée.
12102.00,"Les agents en approvisionnement et aux achats doivent habituellement détenir un baccalauréat ou un diplôme d'études collégiales en gestion des affaires, en commerce ou en économie."
12102.00,"Un diplôme d'études universitaires ou collégiales dans une discipline connexe peut être exigé des agents en approvisionnement et aux achats chargés d'acheter des produits ou des services spécialisés aux entreprises. Par exemple, un baccalauréat ou un diplôme d'études collégiales en génie peut être exigé des acheteurs de produits industriels."
12102.00,Un certificat en approvisionnement de l'Association canadienne de gestion des achats (ACGA) peut être exigé.
12102.00,De l'expérience en tant que commis aux achats ou commis administratif peut être exigée.
12102.00,Une certification de l'organisation International Right of Way Association (IRWA) peut être exigée.
12102.00,"Les spécialistes et les analystes sourceurs doivent habituellement détenir un baccalauréat ou un diplôme d'études collégiales en économie, en logistique, en gestion des opérations, en finances, en génie, en mathématiques ou en analyse statistique."
12102.00,Une expérience de travail préalable dans le domaine de la chaîne d'approvisionnement pour les spécialistes et les analystes sourceurs est habituellement exigée.
12103.00,"Un diplôme d'études universitaires ou collégiales en gestion des affaires, en tourisme ou en gestion hôtelière est habituellement exigé."
12103.00,Plusieurs années d'expérience en gestion hôtelière et en tourisme ou en relations publiques sont habituellement exigées et peuvent suppléer aux titres scolaires.
12103.00,"L'accréditation en gestion d'événements, de réunions ou de conférences peut être exigée."
12104.01,Un baccalauréat ou un diplôme d'études collégiales est habituellement exigé.
12104.01,Plusieurs années d'expérience en gestion ou en application de règlements peuvent être exigées.
12104.01,Un programme de formation spécialisée offert par le gouvernement est exigé.
12104.02,Un baccalauréat ou un diplôme d'études collégiales est habituellement exigé.
12104.02,Plusieurs années d'expérience en gestion ou en application de règlements peuvent être exigées.
12104.02,Un programme de formation spécialisée offert par le gouvernement est exigé.
12110.01,Un diplôme d'études secondaires est exigé des sténographes judiciaires.
12110.01,Un diplôme d'études collégiales ou autre programme d'études spécialisé en sténographie judiciaire est habituellement exigéetun certificat de sténographe agréé peut être exigé des sténographes judiciaires.
12110.01,Les professions travaillant en braille nécessitent généralement une formation en compétence en Braille anglais unifié (BAU) et des études connexes de 1 à 2 ans.
12110.02,Un diplôme d'études secondaires est exigé des transcripteurs médicaux.
12110.02,La réussite d'un programme reconnu en transcription médicale est habituellement exigée etun certificat de transcripteur médical agréé peut être exigé des transcripteurs médicaux.
12110.02,Les professions travaillant en braille nécessitent généralement une formation en compétence en Braille anglais unifié (BAU) et des études connexes de 1 à 2 ans.
12111.00,Un diplôme d'un programme d'études collégiales reconnu de deux ans en technologie des documents sur la santé ou en gestion de l'information sur la santé est exigé des techniciens en gestion de l'information sur la santé et autres professionnels assimilés.
12111.00,L'accréditation de l'Association canadienne interprofessionnelle des dossiers de santé pour les techniciens en gestion de l'information sur la santé et autres professionnels assimilés peut être exigée de certains employeurs.
12112.00,Un diplôme d'un programme d'études collégiales de deux à trois ans en technologie de gestion de documents est habituellement exigé des techniciens en gestion des documents.
12112.00,Deux à trois ans d'expérience dans un environnement de gestion de documents peuvent être exigés.
12113.00,Un diplôme d'études secondaires est exigé.
12113.00,"Un diplôme d'études collégiales ou un diplôme de premier cycle en sciences sociales, en commerce, en statistiques ou dans un domaine connexe est habituellement exigé."
12200.00,Un diplôme d'études secondaires est exigé.
12200.00,"Un diplôme d'études collégiales en comptabilité, en tenue de livre ou dans un domaine connexe oudeux ans (premier niveau) d'un programme reconnu en comptabilité professionnelle (p. ex. comptable agréé, comptable général licencié) oudes cours de comptabilité ou de tenue de livres et plusieurs années d'expérience en tant que commis à la comptabilité ou commis des services financiers sont exigés."
12201.01,Un diplôme d'études secondaires est exigé.
12201.01,Un diplôme d'études universitaires ou collégiales ou des études postsecondaires ouplusieurs années d'expérience comme commis aux assurances dans un bureau de réclamations ou dans un bureau d'assurance sont exigés.
12201.01,"Plusieurs années de formation en cours d'emploi et une formation spécialisée, en milieu industriel de l'assurance, et des programmes de formation sont exigés."
12201.01,Les experts en sinistres indépendants doivent obtenir un permis d'exercice provincial ou territorial.
12201.02,Un diplôme d'études secondaires est exigé.
12201.02,Un diplôme d'études universitaires ou collégiales ou des études postsecondaires ouplusieurs années d'expérience comme commis aux assurances dans un bureau de réclamations ou dans un bureau d'assurance sont exigés.
12201.02,"Plusieurs années de formation en cours d'emploi et une formation spécialisée, en milieu industriel de l'assurance, et des programmes de formation sont exigés."
12202.00,Un diplôme d'études secondaires et une certaine expérience générale de l'assurance ouun diplôme d'études universitaires ou collégiales ou quelques années d'études postsecondaires sont exigés.
12202.00,Plusieurs années de formation en cours d'emploi et une formation spécialisée en milieu industriel de l'assurance et des programmes de formation sont exigées.
12203.01,Un diplôme d'études collégiales en évaluation municipale etune accréditation par l'association d'évaluation municipale de la province sont exigés des estimateurs.
12203.02,"Un baccalauréat ou un diplôme d'études collégiales en comptabilité, en administration des affaires ou en commerce etune accréditation par l'Institut canadien des experts en évaluation d'entreprises, après avoir terminé avec succès leur programme d'appréciation des affaires et des fonds d'État, sont habituellement exigés des experts en évaluation d'entreprises."
12203.03,Un diplôme d'études collégiales ou une formation professionnelle en évaluation ouplusieurs années d'expérience dans un poste connexe à l'évaluation sont habituellement exigés des évaluateurs.
12203.03,"Au Québec, l'appartenance à l'Ordre des évaluateurs agréés du Québec (OEAQ) est obligatoire pour utiliser le titre d'évaluateur agréé/évaluatrice agréée."
12203.03,"Plusieurs années d'expérience en tant qu'agent immobilier, agent des droits de passage ou administrateur d'immeubles sont habituellement exigées des évaluateurs immobiliers, qui peuvent aussi devoir être agréés comme évaluateurs résidentiels au Canada."
12203.03,"Une accréditation par l'Institut canadien des évaluateurs est exigée des évaluateurs d'immeubles résidentiels, de fonds de commerce ou de propriétés industrielles."
13100.00,Un diplôme d'études secondaires est exigé.
13100.00,Un diplôme d'études universitaires ou collégiales en administration des affaires ou en administration publique peut être exigé.
13100.00,De l'expérience dans un poste de bureau de niveau supérieur ou en tant que secrétaire de direction reliée à l'administration d'un bureau est habituellement exigée.
13100.00,Certains employeurs peuvent exiger une accréditation en gestion de projets.
13101.00,Un diplôme d'études secondaires est exigé sauf en Colombie-Britannique.
13101.00,"En Colombie-Britannique, l'index des aptitudes linguistiques est requis."
13101.00,Les agents de gestion immobilière doivent être âgés d'au moins dix-neuf ans en Colombie-Britannique.
13101.00,"Une formation ou un programme professionnel en gestion des biens immeubles, ou à la gestion strata ou en immobilier peut être exigé."
13101.00,"Plusieurs années d'expérience administrative en tant que commis à la gestion des immeubles, ou commis aux contrats ou agent d'administration sont habituellement exigées."
13101.00,"En Colombie-Britannique, les gestionnaires en immobilier strata doivent obtenir un permis."
13102.00,Un diplôme d'études secondaires est habituellement exigé.
13102.00,"Un diplôme d'études collégiales ou d'autres cours en comptabilité, en tenue de livres ou en administration de la paye oude l'expérience en administration de la paye sont habituellement exigés."
13102.00,L'accréditation par une association de gestion de la paye peut être exigée.
13102.00,De l'expérience dans l'utilisation de système ou de logiciel de paye peut être exigée.
13110.00,Un diplôme d'études secondaires est habituellement exigé.
13110.00,Un programme collégial d'un ou de deux ans en techniques de bureau oude l'expérience dans le travail de bureau est exigé.
13111.00,Un diplôme d'études secondaires est habituellement exigé.
13111.00,Un programme collégial d'un an ou de deux ans ou une formation scolaire spécialisée en techniques de bureau ou en secrétariat juridique est habituellement exigé.
13112.00,Un diplôme d'études secondaires est habituellement exigé.
13112.00,Un programme collégial d'un ou de deux ans ou une formation spécialisée en secrétariat ou en secrétariat médical est habituellement exigé.
13200.01,"Un diplôme d'études secondaires et quelques années d'études postsecondaires, en commerce ou dans une discipline connexe, sont exigées."
13200.01,Les courtiers en douanes doivent poursuivre plusieurs années de formation en cours d'emploi et compléter un cours de courtiers en douanes donné par l'International Federation of Customs Brokers Association.
13200.01,"Un permis de courtier en douanes, émis par l'Agence des services frontaliers du Canada, est exigé des particuliers et des entreprises qui opèrent dans le courtage en douanes."
13200.02,"Un diplôme d'études secondaires et quelques années d'études postsecondaires, en commerce ou dans une discipline connexe, sont exigées."
13200.02,"Les courtiers maritimes qui vendent de l'espace sur les cargos doivent habituellement avoir plusieurs années de formation en cours d'emploi ou une expérience connexe, par exemple à l'établissement des horaires au sein d'une entreprise d'expédition. Les courtiers maritimes qui vendent des embarcations doivent habituellement avoir une expérience et une connaissance approfondies de divers types d'embarcations."
