OaSIS Code - Final,OaSIS Label - Final,Automation,Competition,Consequence of Error,Freedom to Make Decisions,Frequency of Decision Making,Impact of Decisions,Pace Determined by Speed of Equipment,Precision,Structured versus Unstructured Work,Tasks Repetition,Time Pressure,Time Pressure2,Work Schedule,Work Week Duration,Biological Agents,Dangerous Chemical Substances,Extremely Bright or Inadequate Lighting,Extreme Temperatures,Hazardous Conditions,"Hazardous Equipment, Machinery, Tools",High Places,In an Enclosed Vehicle or Equipment,In an Enclosed Vehicle or Equipment3,In an Open Vehicle or Equipment,In an Open Vehicle or Equipment4,"Indoors, Environmentally Controlled","Indoors, Environmentally Controlled5","Indoors, Not Environmentally Controlled","Indoors, Not Environmentally Controlled6","Outside, Exposed to Weather","Outside, Exposed to Weather7","Outside, Under Cover","Outside, Under Cover8",Physical Proximity,Radiation,Sound and Noise,Sound and Noise 9,Specialized Safety Equipment,Standard Safety Equipment,Vibration,Skin Injury,Bending or Twisting the Body,Climbing,"Cramped Work Space, Awkward Positions",Handling Material Manually,Keeping or Regaining Balance,Making Repetitive Motions,Sitting,Standing,Walking and Running,Conflict Situations,Contact With Others,Contact With Others10,Coordinating or Leading Others,Deal With External Customers,Deal With Physically Aggressive People,Dealing With Unpleasant or Angry People,Electronic Mail,Face-to-Face Discussions,Written Communications,Public Speaking,Responsibility for Outcomes and Results of Other Workers,Responsible for Others' Health and Safety,Telephone,Work With Work Group or Team,Work With Work Group or Team11
10020.01,Insurance managers,2,4,2,4,4,4,0,5,5,3,3,3,1,3,0,0,0,0,0,0,0,1,1,0,0,5,5,0,0,0,0,0,0,3,0,1,1,0,0,0,0,1,0,0,1,0,2,5,1,1,3,4,4,5,4,0,2,5,4,3,2,5,3,4,4,4
10020.02,Real estate service managers,2,3,2,4,4,4,0,3,4,3,3,3,1,3,0,1,1,1,0,1,1,2,2,0,0,4,4,1,1,2,2,1,1,3,0,1,1,0,1,0,1,1,0,0,1,0,1,5,1,2,3,4,5,4,4,1,2,5,4,3,2,5,3,5,4,4
10020.03,Mortgage broker managers,2,4,3,4,4,4,0,4,4,3,3,3,1,3,0,0,0,0,0,0,0,0,0,0,0,5,5,0,0,0,0,0,0,3,0,1,1,0,0,0,0,1,0,0,1,0,1,5,1,1,3,4,5,4,4,0,2,5,5,3,2,5,2,5,4,4
10020.04,Securities manager,2,4,3,4,4,4,0,4,4,3,4,5,1,3,0,0,0,0,0,0,0,0,0,0,0,5,5,0,0,0,0,0,0,3,0,1,1,0,0,0,0,1,0,0,2,0,2,5,1,0,2,4,4,3,3,1,2,5,5,3,2,5,2,5,3,4
10021.01,Banking and other investment managers,2,4,4,4,4,4,0,5,4,3,5,5,1,3,0,0,0,0,0,0,0,1,1,0,0,5,5,0,0,0,0,0,0,3,0,2,1,0,0,0,0,1,0,0,2,0,2,5,1,1,3,4,5,4,4,1,3,5,5,3,3,5,3,5,4,4
10021.02,Credit managers,2,4,4,4,4,4,0,5,4,4,3,4,1,3,0,0,0,0,0,0,0,1,1,0,0,5,5,0,0,0,0,0,0,3,0,2,1,0,0,0,0,1,0,0,2,0,2,5,1,1,3,5,5,4,4,1,3,5,5,3,2,5,3,5,4,4
10022.01,Advertising managers,2,4,2,4,4,4,0,4,4,2,5,5,1,3,0,0,0,0,0,0,0,0,0,0,0,5,4,0,0,1,1,1,1,3,0,1,1,0,0,0,0,1,0,0,1,0,2,5,1,1,2,5,4,4,4,0,2,5,5,5,3,5,3,5,4,4
10022.02,Marketing managers,2,4,2,4,4,4,0,4,4,2,5,5,1,3,0,0,0,0,0,0,0,0,0,0,0,5,5,1,1,0,0,0,0,3,0,1,1,0,0,0,0,1,0,0,2,0,2,5,1,1,2,5,4,4,4,0,2,5,5,5,3,5,2,5,5,5
10022.03,Public relation managers,2,4,3,4,4,4,0,4,4,2,4,5,1,3,0,0,0,0,0,0,0,2,1,0,0,5,5,0,0,1,1,1,1,3,0,1,1,0,0,0,0,1,0,0,1,0,1,5,1,1,2,5,5,4,5,1,2,5,5,5,3,5,3,5,5,5
10022.04,E-business managers,2,4,3,4,4,4,0,3,4,2,4,4,1,3,0,0,0,0,0,0,0,0,0,0,0,5,5,0,0,0,0,0,0,3,0,0,0,0,0,0,0,1,0,0,0,0,1,5,1,1,2,5,5,4,4,0,2,5,4,5,3,5,2,5,5,5
10029.00,Other business services managers,2,3,3,4,4,4,0,3,4,2,3,4,1,3,0,0,0,0,0,0,0,1,1,0,0,5,5,0,0,0,0,0,0,3,0,1,1,0,0,0,0,1,0,0,1,0,2,4,1,1,3,5,5,4,4,0,2,5,5,4,3,5,3,5,5,5
10030.00,Telecommunication carriers managers,2,3,3,4,4,4,1,4,4,3,3,4,1,3,0,0,0,0,0,0,0,1,1,0,0,4,4,1,1,1,1,0,0,3,0,1,1,0,1,0,0,1,0,0,2,0,2,4,1,2,3,4,5,4,3,0,2,5,5,3,2,5,3,5,5,5
11100.01,Financial auditors,2,4,2,3,3,4,0,5,3,3,4,5,1,2,0,0,0,0,0,0,0,0,0,0,0,5,5,1,1,0,0,0,0,3,0,1,1,0,0,0,0,1,0,0,1,0,2,4,1,0,2,4,5,4,4,1,3,5,4,3,1,4,1,4,3,4
11100.02,Accountants,1,3,2,3,3,4,0,5,4,3,4,4,1,2,0,0,0,0,0,0,0,0,0,0,0,5,5,0,0,0,0,0,0,3,0,1,1,0,0,0,0,1,0,0,1,0,2,5,0,0,2,4,4,3,3,0,1,4,3,3,1,3,1,4,3,3
11101.01,Financial analysts,2,4,3,3,3,3,0,4,3,3,3,3,1,3,0,0,0,0,0,0,0,0,0,0,0,5,5,0,0,0,0,0,0,3,0,1,1,0,0,0,0,1,0,0,0,0,1,5,1,1,2,4,4,3,3,0,1,5,4,3,2,1,0,5,3,3
11101.02,Investment analysts,3,4,3,3,3,3,0,4,3,3,3,3,1,3,0,0,0,0,0,0,0,0,0,0,0,5,5,0,0,0,0,0,0,3,0,1,1,0,0,0,0,1,0,0,0,0,2,5,1,1,2,4,4,3,3,0,1,5,4,3,2,1,0,5,3,3
11102.00,Financial advisors,2,5,2,4,4,4,0,4,3,3,4,4,1,2,0,0,0,0,0,0,0,0,0,0,0,5,5,0,0,0,0,0,0,3,0,1,1,0,0,0,0,1,0,0,1,0,2,5,0,0,2,4,3,3,4,0,1,5,3,3,1,3,1,5,3,3
11103.01,Securities agents and investment dealers,1,4,3,4,4,4,0,4,3,3,4,4,1,3,0,0,0,0,0,0,0,0,0,0,0,5,5,0,0,0,0,0,0,3,0,1,1,0,0,0,0,1,0,0,1,0,1,5,1,0,2,4,4,3,4,0,2,5,3,3,1,2,1,5,3,3
11103.02,Brokers,2,4,3,4,4,4,0,5,3,3,4,3,1,2,0,0,0,0,0,0,0,0,0,0,0,5,5,0,0,0,0,0,0,4,0,2,1,0,0,0,0,1,0,0,2,0,3,5,0,0,2,4,4,3,4,0,3,5,4,3,1,3,1,4,3,3
11109.01,Financial examiners and inspectors,1,3,3,3,3,4,0,4,3,3,3,4,1,2,0,0,0,0,0,0,0,0,0,0,0,5,5,0,0,0,0,0,0,3,0,1,1,0,0,0,0,1,0,0,1,0,3,5,0,0,3,4,4,4,3,1,3,5,3,3,1,4,1,3,3,4
11109.02,Financial investigators,2,3,3,3,3,4,0,5,3,3,3,4,1,2,0,0,0,0,0,0,0,0,0,0,0,5,5,1,1,0,0,0,0,3,0,1,1,0,0,0,0,1,0,0,0,0,2,5,1,0,2,4,4,3,4,1,3,5,3,3,1,3,1,4,3,4
11109.03,Financial Underwriters,2,3,3,3,3,4,0,5,3,4,3,4,1,2,0,0,0,0,0,0,0,0,0,0,0,5,5,0,0,0,0,0,0,3,0,1,1,0,0,0,0,1,0,0,1,0,2,5,1,1,2,4,4,3,4,0,2,5,3,3,2,3,1,4,3,3
11109.04,Trust officers,2,4,2,3,3,4,0,4,3,2,3,3,1,3,0,0,0,0,0,0,0,1,1,0,0,5,5,0,0,0,0,0,0,3,0,1,1,0,0,0,0,1,0,0,1,0,1,5,1,1,2,4,4,3,3,0,2,5,3,3,2,4,2,3,3,3
11109.05,Mortgage brokers,2,4,3,3,4,3,0,3,3,3,4,3,1,2,0,0,0,0,0,0,0,0,0,0,0,5,5,0,0,0,0,0,0,3,0,1,1,0,0,0,0,1,0,0,1,0,1,5,1,0,2,4,4,3,4,0,2,5,3,3,1,3,1,4,3,3
11200.00,Human resources professionals,2,3,2,3,3,3,0,3,4,4,3,4,1,2,0,0,0,0,0,0,0,0,0,0,0,5,5,0,0,0,0,0,0,3,0,1,1,0,0,0,0,1,0,0,2,0,3,5,1,0,2,4,4,4,2,1,2,5,3,3,1,4,3,4,4,4
11201.00,Professional occupations in business management consulting,2,4,3,3,3,4,0,3,3,2,3,5,1,3,0,0,0,0,0,0,0,0,0,0,0,5,5,1,1,0,0,0,0,3,0,1,1,0,0,0,0,1,0,0,0,0,1,4,2,1,2,5,4,4,3,0,2,5,4,4,3,4,2,4,4,4
11202.00,"Professional occupations in marketing, advertising and public relations",1,3,2,3,3,3,0,4,3,2,3,3,1,3,0,0,0,0,0,0,0,1,1,0,0,5,5,0,0,1,1,1,1,3,0,1,1,0,0,0,0,1,0,0,1,0,1,4,1,1,2,5,4,4,4,0,2,5,4,4,3,3,1,5,4,4
12010.00,"Supervisors, general office and administrative support workers",1,3,1,3,3,3,0,3,3,3,3,3,1,2,0,0,0,0,0,0,0,1,1,0,0,5,5,0,0,0,0,0,0,3,0,1,1,0,0,0,0,1,0,0,2,0,3,4,2,1,2,5,5,4,3,0,2,4,5,3,1,4,2,5,5,5
12011.00,"Supervisors, finance and insurance office workers",1,3,3,3,4,3,0,4,4,3,3,3,1,3,0,0,0,0,0,0,0,1,1,0,0,5,5,0,0,0,0,0,0,3,0,1,1,0,0,0,0,1,0,0,2,0,3,4,2,1,2,5,5,4,4,0,2,4,5,3,2,4,3,5,5,5
12012.00,"Supervisors, library, correspondence and related information workers",1,3,2,3,3,3,0,3,3,3,3,3,1,2,0,0,0,0,0,0,0,1,1,0,0,5,5,0,0,0,0,0,0,3,0,1,1,0,0,0,0,1,0,0,2,0,3,4,2,1,2,5,5,4,3,0,2,4,5,3,2,4,2,5,5,5
12013.00,"Supervisors, supply chain, tracking and scheduling coordination occupations",2,3,3,3,4,3,2,4,3,3,5,5,1,3,0,2,1,1,1,1,1,1,1,2,1,3,3,2,2,1,1,1,1,3,0,3,2,0,2,0,1,1,0,1,2,1,2,3,3,3,2,5,5,4,3,1,2,5,5,3,2,4,4,5,5,5
12100.00,Executive assistants,2,2,1,3,2,2,0,5,4,3,4,3,1,2,0,0,0,0,0,0,0,0,0,0,0,5,5,1,1,0,0,0,0,3,0,2,1,0,0,0,0,1,0,0,3,0,3,5,1,1,2,4,5,4,3,0,2,5,4,4,1,3,1,5,4,5
12101.00,Human resources and recruitment officers,2,2,2,3,3,3,0,3,3,3,3,3,1,2,0,0,0,0,0,0,0,1,1,0,0,5,5,0,0,0,0,0,0,3,0,1,1,0,0,0,0,1,0,0,2,0,3,5,1,2,3,4,5,4,4,1,2,5,4,4,2,3,3,5,4,3
12102.00,Procurement and purchasing agents and officers,2,3,2,3,3,3,1,4,3,3,3,4,1,2,0,0,0,0,0,0,0,2,1,0,0,5,5,1,1,0,0,0,0,3,0,1,1,0,0,0,0,1,0,0,3,0,2,4,2,2,2,5,5,4,3,0,2,5,4,3,2,2,1,5,3,4
12103.00,Conference and event planners,1,4,1,4,4,4,0,3,4,3,5,5,2,3,1,0,2,1,1,0,1,3,2,1,1,4,4,1,1,2,2,1,1,3,1,3,3,0,0,0,1,2,1,1,2,1,2,3,3,2,3,5,4,4,5,0,2,5,4,3,2,4,3,5,3,4
12104.01,Excise tax revenue officers,2,2,2,3,3,3,0,4,3,4,3,3,1,2,0,0,0,0,0,0,0,1,1,0,0,5,5,0,0,1,1,0,0,3,0,1,1,0,0,0,0,1,0,0,2,0,3,4,2,1,3,4,4,3,4,1,3,4,3,4,1,3,1,4,3,3
12104.02,Government benefits services officers,2,1,2,3,5,3,0,4,3,4,3,3,1,2,0,0,0,0,0,0,0,1,1,0,0,5,5,0,0,1,1,0,0,3,0,2,1,0,0,0,0,1,0,0,2,0,3,5,1,1,2,5,5,3,4,1,3,4,4,4,1,2,0,4,3,3
12110.01,Court reporters,2,3,2,2,3,3,1,5,2,4,4,4,1,2,0,0,0,0,0,0,0,0,0,0,0,5,5,0,0,0,0,0,0,3,0,2,2,0,0,0,0,1,0,0,4,0,5,5,1,1,1,4,4,0,4,1,2,4,3,5,2,1,0,3,2,3
12110.02,Medical transcriptionists,2,1,2,2,2,2,2,4,3,4,4,4,1,2,1,0,0,0,0,0,0,0,0,0,0,5,5,0,0,0,0,0,0,3,0,1,1,0,1,0,0,1,0,0,2,0,4,5,1,1,1,4,3,1,2,0,1,3,3,5,1,2,1,3,2,2
12111.00,Health information management occupations,2,1,1,3,3,3,0,4,3,5,4,3,1,2,1,0,0,0,0,0,0,0,0,0,0,5,5,0,0,0,0,0,0,3,0,1,1,0,0,0,0,2,0,0,3,0,4,5,1,1,1,4,3,4,2,0,2,3,3,2,0,3,2,3,2,3
12112.00,Records management technicians,3,2,2,3,3,2,1,5,3,4,3,2,1,2,0,0,0,0,0,0,0,0,0,0,0,5,5,0,0,0,0,0,0,3,0,1,1,0,0,0,0,1,0,1,3,0,4,5,2,1,2,4,3,4,2,0,1,5,3,3,2,3,1,3,2,2
12113.00,Statistical officers and related research support occupations,2,3,1,3,1,2,0,4,3,4,2,2,1,2,0,0,0,0,0,0,0,0,0,0,0,5,5,0,0,0,0,0,0,3,0,1,1,0,0,0,0,1,0,0,1,0,3,5,1,0,1,4,3,2,1,0,1,4,3,3,1,2,1,2,3,4
12200.00,Accounting technicians and bookkeepers,1,3,2,3,3,3,0,5,4,3,3,4,1,2,0,0,0,0,0,0,0,0,0,0,0,5,5,0,0,0,0,0,0,3,0,1,1,0,0,0,0,1,0,0,1,0,3,5,1,0,2,4,3,3,3,0,1,4,3,3,1,3,1,3,3,2
12201.01,Insurance adjusters,2,2,1,3,4,3,0,4,3,4,3,3,1,2,0,1,1,1,0,0,1,3,2,0,0,3,3,1,1,2,2,1,1,3,1,2,2,0,1,0,0,1,1,1,1,1,1,4,2,1,3,4,5,2,4,0,2,5,3,5,1,2,1,5,2,2
12201.02,Insurance claims examiners,2,3,2,3,4,4,0,3,3,4,4,4,1,2,0,1,0,0,0,1,0,1,1,1,1,5,5,1,1,1,1,1,1,3,0,1,1,1,1,1,0,1,1,1,2,1,3,4,2,1,4,4,4,3,4,1,4,5,3,4,2,4,1,5,3,3
12202.00,Insurance underwriters,2,3,3,3,3,3,0,4,3,4,3,4,1,2,0,0,0,0,0,0,0,1,1,0,0,5,5,0,0,1,1,0,0,3,0,1,1,0,0,0,0,1,0,0,1,0,2,5,1,1,3,4,5,3,4,0,2,5,3,3,2,2,1,5,3,3
12203.01,Assessors,1,3,2,3,3,3,0,4,3,4,2,3,1,2,0,0,1,2,0,0,0,3,2,0,0,3,4,1,1,3,2,0,0,3,0,2,1,0,1,0,0,1,0,1,3,0,3,4,3,2,2,4,4,3,5,1,1,4,3,3,1,1,0,4,2,3
12203.02,Business valuators,1,3,2,3,3,3,0,4,3,4,2,3,1,2,0,0,1,1,0,0,0,1,1,0,0,4,4,0,0,1,1,0,0,3,0,1,1,0,0,0,0,1,0,0,3,0,3,4,3,1,2,4,4,3,5,0,1,4,3,3,1,1,0,4,2,3
12203.03,Appraisers,1,3,2,3,3,3,0,4,3,3,3,4,1,2,0,0,1,1,0,0,0,3,2,0,0,4,4,2,2,3,2,0,0,1,0,1,1,0,0,0,0,1,0,0,1,0,1,3,3,1,2,4,3,2,2,1,2,3,3,3,1,1,0,4,1,2
13100.00,Administrative officers,2,2,1,3,3,3,1,3,3,3,3,2,1,2,0,1,0,0,0,0,0,0,0,0,0,5,5,1,1,0,0,0,0,3,0,2,1,0,0,0,1,1,0,1,2,0,3,5,1,1,2,4,4,4,4,1,2,5,4,4,1,4,4,5,4,4
13101.00,Property administrators,2,3,3,3,3,3,0,3,3,3,3,4,1,3,0,1,1,2,0,0,1,3,2,0,0,5,4,1,1,2,1,1,1,3,0,1,1,0,1,0,1,1,0,0,2,0,2,4,2,2,3,4,5,3,3,1,3,5,3,3,2,3,3,5,3,3
13102.00,Payroll administrators,2,3,2,3,3,3,0,5,3,5,4,3,1,2,0,0,0,0,0,0,0,0,0,0,0,5,5,0,0,0,0,0,0,3,0,1,1,0,0,0,0,1,0,0,3,0,4,5,0,0,2,3,4,4,3,1,2,5,3,2,1,3,2,3,3,4
13110.00,Administrative assistants,1,1,1,2,2,1,0,3,2,3,3,4,1,2,0,0,0,0,0,0,0,0,0,0,0,5,5,0,0,0,0,0,0,3,0,2,1,0,0,0,0,1,0,0,1,0,3,4,1,0,2,4,3,3,2,0,2,4,4,3,0,1,1,4,3,3
13111.00,Legal administrative assistants,2,2,2,2,2,3,0,4,2,4,4,3,1,2,0,0,0,0,0,0,0,0,0,0,0,5,5,0,0,0,0,0,0,3,0,2,1,0,0,0,0,1,0,0,3,0,3,5,0,0,2,4,5,3,4,0,2,5,4,4,1,3,1,4,5,4
13112.00,Medical administrative assistants,2,3,1,2,3,3,1,4,2,4,3,2,1,2,1,0,0,0,0,0,0,0,0,0,0,5,5,0,0,0,0,0,0,4,0,2,2,0,0,0,0,1,0,0,2,0,4,5,0,0,2,5,5,4,4,1,2,4,4,3,0,3,2,5,4,4
13200.01,Custom brokers,2,4,2,3,3,3,1,3,3,4,4,4,1,2,0,0,0,0,0,0,0,0,0,0,0,5,5,0,0,0,0,0,0,3,0,2,2,0,0,0,0,1,0,0,2,0,3,5,1,1,2,4,5,3,4,0,3,5,3,4,1,3,1,5,3,3
13200.02,Ship brokers,2,4,2,3,3,3,1,3,3,4,4,4,1,2,0,0,1,1,0,0,0,0,0,0,0,4,4,1,1,1,1,0,0,3,0,2,2,0,0,0,0,1,0,0,2,0,3,4,1,1,2,4,5,3,4,0,3,5,3,4,1,3,1,5,3,3
13201.01,Production logistics coordinators,2,3,3,3,4,3,2,4,3,3,5,4,1,3,0,1,1,1,0,0,0,1,1,0,0,3,3,2,2,1,1,1,1,3,0,3,2,0,0,0,0,1,0,1,2,0,2,3,3,3,2,5,4,3,3,0,1,5,4,3,2,4,2,5,4,5
13201.02,Transportation logistics coordinators,3,3,3,3,4,3,2,4,3,3,5,5,1,3,0,2,1,1,0,1,1,1,1,2,1,3,3,2,2,1,1,1,1,3,0,3,2,0,2,0,1,1,1,1,2,1,2,3,3,3,2,5,5,4,3,1,2,5,4,3,2,4,4,5,4,5
14100.01,General office support workers,2,2,1,2,2,1,0,2,3,3,3,3,1,2,0,0,0,0,0,0,0,0,0,0,0,5,5,0,0,0,0,0,0,3,0,2,2,0,0,0,0,1,0,0,3,0,4,5,1,1,2,4,4,3,3,0,2,5,4,3,1,2,2,5,4,4
14100.02,File clerks,2,1,2,2,1,2,1,4,2,4,3,3,1,2,0,0,0,0,0,0,0,0,0,0,0,5,5,1,1,0,0,0,0,3,0,1,1,0,0,0,0,1,0,0,2,0,4,4,2,2,0,3,4,3,3,0,1,2,3,2,0,2,1,3,3,2
14101.01,Receptionists,2,2,1,3,3,2,1,3,2,4,3,3,1,2,0,0,0,0,0,0,0,0,0,0,0,5,5,0,0,0,0,0,0,3,0,2,2,0,0,0,0,1,0,0,1,0,3,5,1,1,2,5,5,3,5,0,3,4,4,3,0,2,2,5,4,3
14101.02,Hospital admitting clerks,2,1,2,2,2,2,1,3,2,4,3,2,1,2,4,1,0,0,0,0,0,0,0,0,0,5,5,0,0,0,0,0,0,4,0,2,2,0,0,0,0,1,0,0,2,0,4,4,1,1,2,5,5,2,4,1,3,3,4,1,0,2,2,5,4,2
14101.03,Switchboard and answering service operators,3,1,1,1,3,1,2,2,1,4,1,1,1,2,0,0,0,0,0,0,0,0,0,0,0,5,5,0,0,0,0,0,0,4,0,2,2,0,0,0,0,1,0,0,3,0,4,5,1,1,2,5,5,3,5,0,4,4,1,2,0,2,1,5,3,2
14101.04,Telephone operators,3,2,1,1,3,1,3,2,1,5,1,1,1,2,0,0,0,0,0,0,0,0,0,0,0,5,5,0,0,0,0,0,0,4,0,2,2,0,0,0,0,1,0,0,4,0,4,5,1,0,2,5,5,1,5,0,5,1,1,1,0,1,2,5,3,2
14102.00,Personnel clerks,2,2,2,2,2,2,0,3,2,4,3,3,1,2,0,0,0,0,0,0,0,0,0,0,0,5,5,0,0,0,0,0,0,3,0,1,1,0,0,0,0,1,0,0,2,0,3,4,1,2,3,5,5,2,4,0,3,5,4,3,1,3,2,5,4,5
14103.00,Court clerks and related court services occupations,2,1,3,2,2,3,0,5,2,5,4,4,1,2,0,0,0,0,0,0,0,0,0,0,0,5,5,0,0,0,0,0,0,3,0,2,1,0,0,0,0,1,0,0,2,0,3,4,2,2,3,4,4,3,4,1,2,4,4,3,3,2,1,3,3,3
14110.01,Survey interviewers,2,2,1,2,1,1,1,4,2,3,3,3,1,2,0,0,0,0,0,0,0,1,1,0,0,5,5,0,0,0,0,0,0,3,0,2,1,0,0,0,0,1,0,0,2,0,2,5,1,0,2,4,5,3,4,0,2,4,3,2,2,1,1,4,3,3
14110.02,Statistical clerks,2,2,1,2,2,2,1,4,2,3,3,3,1,2,0,0,0,0,0,0,0,0,0,0,0,5,5,0,0,0,0,0,0,3,0,1,1,0,0,0,0,1,0,0,2,0,4,4,1,1,0,3,3,1,1,0,1,4,2,2,1,2,0,3,2,2
14111.00,Data entry clerks,2,1,1,1,1,1,1,5,2,5,3,3,1,2,0,0,0,0,0,0,0,0,0,0,0,5,5,0,0,0,0,0,0,3,0,1,1,0,0,0,0,1,0,0,2,0,5,5,1,1,0,3,3,0,1,0,1,2,2,1,0,0,0,3,2,2
14112.01,Desktop publishing operators,2,3,2,3,3,3,1,4,3,2,4,4,1,2,0,1,0,0,0,0,0,0,0,0,0,5,5,0,0,0,0,0,0,3,0,1,1,0,0,0,0,1,0,0,2,0,3,4,2,1,2,3,3,3,2,0,1,4,2,2,1,2,0,4,3,4
14112.02,Typesetting input and output operators,2,2,2,3,2,1,2,4,3,4,5,4,1,2,0,4,0,0,0,0,0,0,0,0,0,5,5,0,0,0,0,0,0,3,0,2,1,0,0,0,0,1,0,0,3,0,3,4,4,1,2,3,3,1,1,0,1,4,2,1,0,1,0,3,3,2
14200.00,Accounting and related clerks,2,2,1,2,2,2,1,4,2,5,3,3,1,2,0,0,0,0,0,0,0,0,0,0,0,5,5,0,0,0,0,0,0,3,0,1,1,0,0,0,0,1,0,0,2,0,3,5,1,1,1,4,4,2,2,0,1,4,4,3,1,2,1,4,3,3
14201.01,Bank clerks,2,3,3,2,3,3,1,5,3,4,3,3,1,2,0,0,0,0,0,0,0,0,0,0,0,5,5,0,0,0,0,0,0,3,0,2,1,0,0,0,0,1,0,0,2,0,4,4,2,1,2,4,5,3,4,1,2,3,4,4,1,2,1,4,3,3
14201.02,Insurance clerks,2,2,3,2,2,2,1,4,3,4,3,3,1,2,0,0,0,0,0,0,0,2,1,0,0,5,5,0,0,2,1,0,0,3,0,2,1,0,0,0,0,1,0,0,2,0,3,4,1,1,2,3,4,3,4,0,2,5,3,4,1,1,2,5,3,3
