Code de profile professionnel SIPeC,Renseignements supplementaires
12202.00,"Un programme de formation, offert par l'Institut d'assurance du Canada ou son équivalent provincial, permet à l'assureur d'être reconnu comme Professionnel d'assurance agréé (PAA) ou comme fellow, Professionnel d'assurance agréé (FPAA), après avoir suivi des cours universitaires supplémentaires."
12203.01,L'expérience permet d'accéder à des postes de direction dans chacun de ces domaines.
12203.01,"Les estimateurs peuvent se spécialiser en tant qu'experts-conseils dans un domaine en particulier de l'appréciation, tel que le secteur résidentiel, commercial, industriel ou institutionnel ou de terrains agricoles."
12203.02,L'expérience permet d'accéder à des postes de direction dans chacun de ces domaines.
12203.03,L'expérience permet d'accéder à des postes de direction dans chacun de ces domaines.
12203.03,"Les évaluateurs peuvent se spécialiser dans un domaine en particulier de l'évaluation, tel que l'évaluation immobilière."
13100.00,L'expérience permet d'accéder à des postes de gestion des services administratifs.
13102.00,L'expérience permet d'accéder à des postes de supervision.
13200.01,Il n'y a pas de mobilité possible entre les différents courtiers compris dans ce groupe de base.
13200.02,Il n'y a pas de mobilité possible entre les différents courtiers compris dans ce groupe de base.
13201.01,L'expérience permet d'accéder à des postes de supervision.
13201.02,L'expérience permet d'accéder à des postes de supervision.
14100.01,L'expérience permet d'accéder à des postes de supervision ou de gestion de bureau.
14100.01,L'expérience et la formation supplémentaire permettent d'accéder à des postes de dirigeant.
14100.02,L'expérience permet d'accéder à des postes de supervision ou de gestion de bureau.
14100.02,L'expérience et la formation supplémentaire permettent d'accéder à des postes de dirigeant.
14101.01,Certains réceptionnistes doivent être bilingues ou plurilingues pour exercer leurs fonctions.
14101.01,L'expérience permet d'accéder à des postes de supervision.
14101.02,L'expérience permet d'accéder à des postes de supervision.
14101.03,L'expérience permet d'accéder à des postes de supervision.
14101.04,L'expérience permet d'accéder à des postes de supervision.
14102.00,L'expérience permet d'accéder à des postes de supervision.
14102.00,De l'expérience et une formation supplémentaire permettent d'accéder à des postes d'agents.
14103.00,L'expérience permet d'accéder à des postes de supervision ou de direction des services judiciaires.
14103.00,"Les tâches des administrateurs des tribunaux peuvent inclure celles des commis des services judiciaires et celles des officiers de justice en fonction, de la région et de la taille du palais de justice."
14111.00,L'expérience permet d'accéder à des postes à un échelon supérieur.
14112.01,L'expérience permet d'accéder à des postes de supervision.
14112.02,L'expérience permet d'accéder à des postes de supervision.
14200.00,"L'expérience et une formation supplémentaire permettent d'accéder à des postes de supervision ou à des postes spécialisés en finances, tels que ceux de superviseur des comptes fournisseurs, teneur de livres ou de chef de bureau."
14201.01,L'expérience permet d'accéder à des postes de supervision.
14201.02,L'expérience permet d'accéder à des postes de supervision.
14201.03,L'expérience permet d'accéder à des postes de supervision.
14202.00,L'expérience permet d'accéder à des postes supérieurs ou de supervision.
14300.00,L'expérience et les études postsecondaires en bibliothéconomie permettent d'accéder à des postes aux échelons supérieurs.
14301.01,L'expérience permet d'accéder à des postes de supervision.
14301.02,L'expérience permet d'accéder à des postes de supervision.
14301.03,L'expérience permet d'accéder à des postes de supervision.
14301.04,L'expérience permet d'accéder à des postes de supervision.
14301.05,L'expérience permet d'accéder à des postes de supervision.
14400.00,L'expérience ou une formation supplémentaire permet aux expéditeurs et aux réceptionnaires d'accéder à des postes de supervision.
14401.00,La mention Sceau rouge permet une mobilité interprovinciale.
14401.00,Une expérience ou une formation supplémentaire permet d'accéder à des postes de supervision.
14401.00,"Les commis aux pièces peuvent se spécialiser dans une catégorie de pièces en particulier, telles que les pièces pour automobiles, véhicules récréatifs, embarcations, machinerie lourde et agricole et les pièces des systèmes de chauffage, de ventilation et de climatisation ou de réfrigération."
14402.00,L'expérience permet d'accéder à des postes de coordonnateurs.
14403.01,Les fonctions de commis aux achats et de commis au contrôle de l'inventaire peuvent se chevaucher dans certains établissements.
14403.01,"L'expérience ou une formation supplémentaire permet d'accéder à des postes de supervision ou à des postes plus élevés, tels que ceux d'agent aux achats ou d'acheteur de commerce de détail."
14403.02,Les fonctions de commis aux achats et de commis au contrôle de l'inventaire peuvent se chevaucher dans certains établissements.
14403.02,"L'expérience ou une formation supplémentaire permet d'accéder à des postes de supervision ou à des postes plus élevés, tels que ceux d'agent aux achats ou d'acheteur de commerce de détail."
14405.00,La mobilité entre les professions de ce groupe de base est limitée en raison de la nécessité d'acquérir une expérience au sein du secteur visé.
14405.00,L'expérience permet d'accéder à des postes de supervision.
20010.00,"L'expérience permet d'accéder à d'autres postes de direction technique, ou des postes de recherche ou de cadre supérieur."
20011.01,L'expérience permet d'accéder à des postes de cadres supérieurs dans les domaines d'expertise.
20011.02,L'expérience permet d'accéder à des postes de cadres supérieurs dans les domaines d'expertise.
21100.01,L'expérience permet d'accéder à d'autres spécialisations en physique ou en astronomie.
21100.01,Les physiciens peuvent travailler en étroite collaboration avec les ingénieurs et s'acquitter de quelques-unes de leurs fonctions.
21100.01,L'expérience permet d'accéder à des postes de direction.
21100.01,"Les physiciens peuvent se spécialiser dans les domaines tels que l'aéronomie et la physique spatiale, l'acoustique, la physique atomique et moléculaire, la biophysique ou l'étude de la matière à l'état condensé ou à l'état solide, l'électromagnétisme, les fluides et l'aérodynamique, la physique de la santé, la physique médicale, la métrologie, l'optique et la physique des lasers, la physique nucléaire, la physique des particules et celle des plasmas."
21100.02,L'expérience permet d'accéder à d'autres spécialisations en physique ou en astronomie.
21100.02,"La mobilité est possible dans les domaines de la météorologie, de la géophysique et autres domaines scientifiques."
21100.02,L'expérience permet d'accéder à des postes de direction.
21100.02,"Les astronomes peuvent se spécialiser dans des domaines tels que l'astronomie d'optique ou d'observation, l'astrophysique ou la radioastronomie."
21101.00,Les professionnels de ce groupe peuvent passer d'une spécialité à une autre selon l'expérience acquise.
21101.00,"L'expérience permet d'accéder à des postes de gestion des usines, de représentation technique, d'élaboration et de gestion de programmes de réglementation et d'enseignement."
21102.01,L'expérience permet aux personnes de ce groupe de passer d'une spécialité à une autre.
21102.01,L'expérience permet d'accéder à des postes supérieurs ou de supervision dans ce groupe de base.
21102.01,"L'expérience permet d'accéder à des postes de gestion dans l'industrie minière, pétrolière ou dans d'autres industries."
21102.01,"Les géologues peuvent se spécialiser dans les domaines tels que la géologie houillère, la géologie environnementale, la géochronologie, l'hydrogéologie, les gisements miniers et minéraux, la géologie du pétrole, la stratigraphie, la géologie tectonique, la volcanologie et d'autres domaines."
21102.01,"Les géochimistes peuvent se spécialiser en géochimie analytique, en géochimie pétrolière ou minérale, en hydrogéochimie ou dans d'autres domaines."
21102.01,"Les géophysiciens peuvent se spécialiser en géologie du pétrole, en physique de la terre, en géodésie, en géologie électromagnétique, en séismologie, et dans d'autres domaines."
21102.02,L'expérience permet aux personnes de ce groupe de passer d'une spécialité à une autre.
21102.02,L'expérience permet d'accéder à des postes supérieurs ou de supervision dans ce groupe de base.
21102.02,"L'expérience permet d'accéder à des postes de gestion dans l'industrie minière, pétrolière ou dans d'autres industries."
21102.02,"Les océanographes peuvent se spécialiser en océanographie biologique, chimique, géologique ou physique, ou dans d'autres domaines reliés à l'étude des océans."
21109.01,L'expérience permet parfois la mobilité entre les spécialisations de ce groupe de base.
21109.01,L'expérience permet d'accéder à d'autres domaines des sciences physiques ou à des postes de gestion ou de gestion des programmes de réglementation.
21109.02,L'expérience permet parfois la mobilité entre les spécialisations de ce groupe de base.
21109.02,L'expérience permet d'accéder à d'autres domaines des sciences physiques ou à des postes de gestion ou de gestion des programmes de réglementation.
21109.03,L'expérience permet parfois la mobilité entre les spécialisations de ce groupe de base.
21109.03,L'expérience permet d'accéder à d'autres domaines des sciences physiques ou à des postes de gestion ou de gestion des programmes de réglementation.
21109.04,L'expérience permet parfois la mobilité entre les spécialisations de ce groupe de base.
21109.04,L'expérience permet d'accéder à d'autres domaines des sciences physiques ou à des postes de gestion ou de gestion des programmes de réglementation.
21110.01,"Les biologistes et personnel scientifique assimilé peuvent se spécialiser au niveau macroscopique, dans les domaines tels que la botanique, la zoologie, l'écologie et la biologie marine, ou, au niveau cellulaire et moléculaire, dans les domaines tels que la génétique, l'immunologie, la pharmacologie, la toxicologie, la physiologie, la pathologie, la bactériologie, la virologie, la biotechnologie et la bioinformatique."
21110.02,"Les biologistes et personnel scientifique assimilé peuvent se spécialiser au niveau macroscopique, dans les domaines tels que la botanique, la zoologie, l'écologie et la biologie marine, ou, au niveau cellulaire et moléculaire, dans les domaines tels que la génétique, l'immunologie, la pharmacologie, la toxicologie, la physiologie, la pathologie, la bactériologie, la virologie, la biotechnologie et la bioinformatique."
21111.00,L'expérience permet d'accéder à des postes supérieurs et de supervision dans ce groupe de base.
21111.00,L'expérience permet d'accéder à des postes de gestion au gouvernement et dans l'industrie.
21112.00,L'expérience permet d'accéder à des postes de direction.
21112.00,"Les agronomes, les conseillers et les spécialistes en agriculture peuvent se spécialiser dans des domaines particuliers de l'agriculture tels que les sciences animales, les plantes de grande culture, l'horticulture, la science du sol, l'irrigation ou le drainage, la gestion agricole, la commercialisation, l'économie agricole, l'utilisation des sols, la gestion de l'environnement, l'évaluation ou l'éducation."
21200.00,"L'expérience permet d'accéder à des postes supérieurs, tels qu'architecte en chef."
21200.00,"Les architectes peuvent se spécialiser dans un genre particulier de construction tel que la construction de bâtiments résidentiels, commerciaux, industriels ou institutionnels."
21202.00,L'expérience permet d'accéder à des postes de gestion en planification.
21203.00,"Selon la loi fédérale, les arpenteurs-géomètres doivent obtenir un permis distinct de l'Association des arpenteurs des terres du Canada pour pouvoir arpenter des endroits tels que les parcs nationaux, les terres autochtones, les zones extracôtières et les territoires du Nord."
21210.03,"L'expérience permet aux actuaires d'accéder à des postes de gestion en finance, en assurance et en services-conseils.  Ils peuvent aussi être des travailleurs autonomes."
21230.00,L'expérience permet d'accéder à des postes d'analystes en informatique.
21232.00,L'expérience permet d'accéder à des postes d'ingénieurs en logiciel.
21300.00,Il y a une très grande mobilité entre les spécialisations de génie civil dans les postes de niveau inférieur.
21300.00,L'expérience est exigée afin d'accéder à des postes supérieurs ou de supervision dans ce groupe de base.
21300.00,"Les ingénieurs travaillent souvent dans un environnement multidisciplinaire et acquièrent des connaissances et des compétences qui leur permettent d'exercer leur profession dans les domaines connexes des sciences, du génie, des ventes, de la commercialisation ou de la gestion."
21301.00,L'expérience est exigée afin d'accéder à des postes supérieurs ou de supervision dans ce groupe de base.
21301.00,"Les ingénieurs mécaniciens travaillent en étroite collaboration avec les ingénieurs civils, électriciens, chimistes, industriels, les ingénieurs de l'aérospatiale et autres ingénieurs. La mobilité est possible entre certains champs de spécialisation de ces disciplines."
21301.00,Il y a une très grande mobilité entre les spécialisations de génie mécanique dans les postes de niveaux inférieurs.
21301.00,"Les ingénieurs travaillent souvent dans un environnement multidisciplinaire et acquièrent des connaissances et des compétences qui leur permettent d'exercer leur profession dans les domaines connexes des sciences, du génie, des ventes, de la commercialisation ou de la gestion."
21310.00,L'expérience est exigée afin d'accéder à des postes supérieurs ou de supervision dans ce groupe de base.
21310.00,"Les ingénieurs travaillent souvent dans un environnement multidisciplinaire et acquièrent des connaissances et des compétences qui leur permettent d'exercer leur profession dans les domaines connexes des sciences, du génie, des ventes, de la commercialisation ou de la gestion."
21310.00,"Les ingénieurs électriciens et électroniciens peuvent se spécialiser dans un certain nombre de domaines, notamment la conception d'installations électriques résidentielles, commerciales ou industrielles, la production et la transmission d'énergie électrique et les systèmes d'instrumentation et de contrôle."
21311.01,L'expérience est exigée afin d'accéder à des postes supérieurs ou de supervision dans ce groupe de base.
21311.01,"Les ingénieurs travaillent souvent dans un environnement multidisciplinaire et acquièrent des connaissances et des compétences qui leur permettent d'exercer leur profession dans les domaines connexes des sciences, du génie, des ventes, de la commercialisation ou de la gestion."
21311.01,"Les ingénieurs informaticiens peuvent se spécialiser dans divers domaines, dont le traitement des signaux analogues et numériques, les circuits intégrés, les micro-ondes, les fibres optiques, les lasers, les microprocesseurs et la radioastronomie."
21311.02,L'expérience est exigée afin d'accéder à des postes supérieurs ou de supervision dans ce groupe de base.
21311.02,"Les ingénieurs travaillent souvent dans un environnement multidisciplinaire et acquièrent des connaissances et des compétences qui leur permettent d'exercer leur profession dans les domaines connexes des sciences, du génie, des ventes, de la commercialisation ou de la gestion."
21320.00,Il y a une très grande mobilité entre les spécialisations de génie chimique dans les postes aux niveaux inférieurs.
21320.00,L'expérience est exigée afin d'accéder à des postes supérieurs ou de supervision dans ce groupe de base.
21320.00,"Les ingénieurs travaillent souvent dans un environnement multidisciplinaire et acquièrent des connaissances et des compétences qui leur permettent d'exercer leur profession dans les domaines connexes des sciences, du génie, des ventes, de la commercialisation ou de la gestion."
21320.00,Les ingénieurs chimistes travaillent en étroite collaboration avec les chimistes et d'autres scientifiques et ingénieurs. La mobilité est possible entre certains champs de spécialisation de ces disciplines.
21320.00,"Les ingénieurs chimistes peuvent se spécialiser dans le domaine des produits et des procédés d'un secteur industriel particulier, tel que la fabrication des pâtes et papiers, les produits pharmaceutiques, le raffinage du pétrole, le traitement de l'énergie, les plastiques, l'extraction et l'affinage des minerais ou la production d'adhésifs et de revêtements. Ils peuvent aussi se spécialiser dans des domaines fonctionnels de diverses industries, tels que le contrôle des procédés, le contrôle de la pollution ou les processus de fermentation."
21321.00,"Les ingénieurs d'industrie élaborent et mettent en oeuvre des systèmes organisationnels et de gestion, et les ingénieurs de fabrication conçoivent des procédés de production."
21321.00,Il y a une très grande mobilité entre les spécialisations de génie industriel dans les postes aux niveaux inférieurs.
21321.00,L'expérience est exigée afin d'accéder à des postes supérieurs ou de supervision dans ce groupe de base.
21321.00,"Les ingénieurs travaillent souvent dans un environnement multidisciplinaire et acquièrent des connaissances et des compétences qui leur permettent d'exercer leur profession dans les domaines connexes des sciences, du génie, des ventes, de la commercialisation ou de la gestion."
21322.00,"Les ingénieurs métallurgistes effectuent des recherches et mettent au point des alliages et des systèmes nouveaux permettant d'extraire les métaux des minerais, tandis que les ingénieurs des matériaux effectuent des recherches et mettent au point des matières non métalliques nouvelles possédant des caractéristiques physiques conformes à des exigences précises."
21322.00,Il y a une très grande mobilité entre les spécialisations de génie métallurgique et des matériaux dans les postes aux niveaux inférieurs.
21322.00,L'expérience est exigée afin d'accéder à des postes supérieurs ou de supervision dans ce groupe de base.
21322.00,Les ingénieurs métallurgiques et des matériaux travaillent en étroite collaboration avec les autres ingénieurs et scientifiques. La mobilité est possible entre certains champs de spécialisation de ces disciplines.
21322.00,"Les ingénieurs travaillent souvent dans un environnement multidisciplinaire et acquièrent des connaissances et des compétences qui leur permettent d'exercer leur profession dans les domaines connexes des sciences, du génie, des ventes, de la commercialisation ou de la gestion."
21330.00,L'expérience est exigée afin d'accéder à des postes supérieurs ou de supervision dans ce groupe de base.
21330.00,"Les ingénieurs miniers travaillent en étroite collaboration avec les géologues, les ingénieurs géologues, les ingénieurs métallurgistes et autres ingénieurs et scientifiques. La mobilité est possible entre certains champs de spécialisation de ces disciplines."
21330.00,"Les ingénieurs travaillent souvent dans un environnement multidisciplinaire et acquièrent des connaissances et des compétences qui leur permettent d'exercer leur profession dans les domaines connexes des sciences, du génie, des ventes, de la commercialisation ou de la gestion."
21331.00,Il y a une très grande mobilité entre les spécialisations de génie dans les postes de niveau inférieur.
21331.00,L'expérience est exigée afin d'accéder à des postes supérieurs ou de supervision dans ce groupe de base.
21331.00,Les ingénieurs géologiques travaillent en étroite collaboration avec les géologues et autres scientifiques et ingénieurs. La mobilité est possible entre certains champs de spécialisation de ces disciplines.
21331.00,"Les ingénieurs travaillent souvent dans un environnement multidisciplinaire et acquièrent des connaissances et des compétences qui leur permettent d'exercer leur profession dans les domaines connexes des sciences, du génie, des ventes, de la commercialisation ou de la gestion."
21332.00,Il existe une mobilité entre les spécialisations de génie de l'extraction et du raffinage du pétrole dans les postes aux niveaux inférieurs.
21332.00,L'expérience est exigée afin d'accéder à des postes supérieurs ou de supervision dans ce groupe de base.
21332.00,"Les ingénieurs travaillent souvent dans un environnement multidisciplinaire et acquièrent des connaissances et des compétences qui leur permettent d'exercer leur profession dans les domaines connexes des sciences, du génie, des ventes, de la commercialisation ou de la gestion."
21332.00,"Les ingénieurs de l'extraction et du raffinage du pétrole peuvent se spécialiser en forage, en production, en analyse de réservoir ou dans les opérations sous-marines."
21390.00,Il existe une très grande mobilité entre les spécialisations de génie en aérospatiale dans les postes de niveau inférieur.
21390.00,L'expérience est exigée afin d'accéder à des postes supérieurs ou de supervision dans ce groupe de base.
21390.00,Les ingénieurs en aérospatiale travaillent en étroite collaboration avec d'autres scientifiques et ingénieurs. La mobilité est possible entre certains champs de spécialisation de ces disciplines.
21390.00,"Les ingénieurs travaillent souvent dans un environnement multidisciplinaire et acquièrent des connaissances et des compétences qui leur permettent d'exercer leur profession dans les domaines connexes des sciences, du génie, des ventes, de la commercialisation ou de la gestion."
21399.01,La mobilité entre les spécialisations en génie est limitée dans ce groupe de base.
21399.01,L'expérience est exigée afin d'accéder à des postes supérieurs ou de supervision dans ce groupe de base.
21399.01,"Les ingénieurs travaillent souvent dans un environnement multidisciplinaire et acquièrent des connaissances et des compétences qui leur permettent d'exercer leur profession dans les domaines connexes des sciences, du génie, des ventes, de la commercialisation ou de la gestion."
21399.02,La mobilité entre les spécialisations en génie est limitée dans ce groupe de base.
21399.02,L'expérience est exigée afin d'accéder à des postes supérieurs ou de supervision dans ce groupe de base.
21399.02,"Les ingénieurs travaillent souvent dans un environnement multidisciplinaire et acquièrent des connaissances et des compétences qui leur permettent d'exercer leur profession dans les domaines connexes des sciences, du génie, des ventes, de la commercialisation ou de la gestion."
21399.03,La mobilité entre les spécialisations en génie est limitée dans ce groupe de base.
21399.03,L'expérience est exigée afin d'accéder à des postes supérieurs ou de supervision dans ce groupe de base.
21399.03,"Les ingénieurs travaillent souvent dans un environnement multidisciplinaire et acquièrent des connaissances et des compétences qui leur permettent d'exercer leur profession dans les domaines connexes des sciences, du génie, des ventes, de la commercialisation ou de la gestion."
21399.04,La mobilité entre les spécialisations en génie est limitée dans ce groupe de base.
21399.04,L'expérience est exigée afin d'accéder à des postes supérieurs ou de supervision dans ce groupe de base.
21399.04,"Les ingénieurs travaillent souvent dans un environnement multidisciplinaire et acquièrent des connaissances et des compétences qui leur permettent d'exercer leur profession dans les domaines connexes des sciences, du génie, des ventes, de la commercialisation ou de la gestion."
21399.05,La mobilité entre les spécialisations en génie est limitée dans ce groupe de base.
21399.05,L'expérience est exigée afin d'accéder à des postes supérieurs ou de supervision dans ce groupe de base.
21399.05,"Les ingénieurs travaillent souvent dans un environnement multidisciplinaire et acquièrent des connaissances et des compétences qui leur permettent d'exercer leur profession dans les domaines connexes des sciences, du génie, des ventes, de la commercialisation ou de la gestion."
22100.01,Une grande mobilité existe entre les postes de ce groupe de base.
22100.01,L'expérience permet d'accéder à des postes de gestion.
22100.01,Certains technologues et techniciens en chimie qui travaillent en recherche fondamentale en chimie ou en biochimie possèdent un diplôme universitaire.
22100.02,Une grande mobilité existe entre les postes de ce groupe de base.
22100.02,L'expérience permet d'accéder à des postes de gestion.
22100.02,Certains technologues et techniciens en chimie qui travaillent en recherche fondamentale en chimie ou en biochimie possèdent un diplôme universitaire.
22101.01,La mobilité parmi les professions de ce groupe de base est limitée.
22101.01,La mobilité peut être possible entre les professions en technologie géophysique et les professions en électronique.
22101.01,La mobilité peut être possible entre les professions comprises dans ce groupe et celles des domaines connexes en génie civil.
22101.02,La mobilité parmi les professions de ce groupe de base est limitée.
22101.02,La mobilité peut être possible entre les professions en technologie géophysique et les professions en électronique.
22101.02,La mobilité peut être possible entre les professions comprises dans ce groupe et celles des domaines connexes en génie civil.
22110.01,La mobilité parmi les professions de ce groupe de base est limitée.
22110.01,Certains technologues et techniciens qui exercent les fonctions de soutien dans des programmes de recherche en biologie pour le gouvernement ou des universités sont des diplômés d'université.
22110.02,La mobilité parmi les professions de ce groupe de base est limitée.
22110.02,Certains technologues et techniciens qui exercent les fonctions de soutien dans des programmes de recherche en biologie pour le gouvernement ou des universités sont des diplômés d'université.
22111.01,L'expérience permet d'accéder à des postes de direction.
22111.02,L'expérience permet d'accéder à des postes de direction.
22111.03,L'expérience permet d'accéder à des postes de direction.
22111.04,L'expérience permet d'accéder à des postes de direction.
22111.05,L'expérience permet d'accéder à des postes de direction.
22112.00,Il est possible d'accéder à des postes dans le domaine de la gestion des ressources naturelles et de la faune ainsi qu'en gestion des parcs.
22113.00,L'expérience permet d'accéder à des postes supérieurs et de supervision.
22114.01,La mention Sceau rouge permet une mobilité interprovinciale.
22114.02,La mention Sceau rouge permet une mobilité interprovinciale.
22114.03,La mention Sceau rouge permet une mobilité interprovinciale.
22114.04,La mention Sceau rouge permet une mobilité interprovinciale.
22114.05,La mention Sceau rouge permet une mobilité interprovinciale.
22114.06,La mention Sceau rouge permet une mobilité interprovinciale.
22114.07,La mention Sceau rouge permet une mobilité interprovinciale.
22210.00,"Il existe une mobilité entre les postes tels que dessinateurs, technologues et techniciens du génie civil, estimateurs en construction et inspecteurs en construction."
22210.00,L'expérience permet d'accéder à des postes de supervision.
22211.00,Il existe une certaine mobilité entre les postes de ce groupe.
22211.00,Il est possible d'accéder à d'autres postes de designers.
