OaSIS profile code,Lead statement
10029.00,"Other business services managers plan, organize, direct, control and evaluate the operations of establishments that provide services to business, and ensure the quality of those services and client satisfaction."
10030.00,"Telecommunication carriers managers plan, organize, direct, control and evaluate the operations of a telecommunications establishment, department or facility."
11100.01,Financial auditors examine and analyze the accounting and financial records of individuals and establishments to ensure accuracy and compliance with established accounting standards and procedures.
11100.02,"Accountants plan, organize and administer accounting systems for individuals and establishments. Articling students in accounting firms are included in this occupation."
11101.01,"Financial analysts collect and analyze financial information such as economic forecasts, trading volumes and the movement of capital, financial backgrounds of companies, historical performances and future trends of stocks, bonds and other investment instruments to provide financial and investment or financing advice for their companies or their companies' clients. Their studies and evaluations cover areas such as takeover bids, private placements, merges and acquisitions."
11101.02,"Investment analysts collect and analyze financial information such as economic forecasts, trading volumes and the movement of capital, financial backgrounds of companies, historical performances and future trends of stocks, bonds and other investment instruments to provide investment advice for their companies or their companies' clients. Their studies and evaluations cover areas such as takeover bids, private placements, merges and acquisitions."
11102.00,"Financial advisors counsel individuals on financial decisions such as investments, cash management, and estate planning. They establish personal financial plans according to clients’ objectives and guide them through the implementation of the proposed strategies that may be adjusted as the situation evolve."
11103.01,"Securities agents and investment dealers buy and sell stocks, bonds, treasury bills, mutual funds and other securities for individual investors, pension fund managers, banks, trust companies, insurance firms and other establishments."
11103.02,"Brokers buy and sell stocks, bonds, commodity futures, foreign currencies and other securities at stock exchanges on behalf of investment dealers."
11109.01,Financial examiners and inspectors review financial establishments and services.
11109.02,Financial investigators investigate the practices of securities and commodity futures traders and other financial service providers.
11109.03,"Underwriters provide services related to the issuing of new stocks, bonds and securities."
11109.04,"Trust officers administer trusts, direct trust investments and disburse trust funds."
11109.05,Mortgage brokers provide services related to procuring mortgages.
11200.00,"Human resources professionals develop, implement and evaluate human resources and labour relations policies, programs and procedures and advise employers and employees on human resources matters."
11201.00,"Professionals in business management consulting occupations provide services to management such as analyzing the structure, operations, managerial methods or functions of an organization in order to propose, plan and implement improvements."
11202.00,"Professional occupations in advertising, marketing and public relations analyse, develop and implement communication and promotion strategies and information programs, analyse advertising needs and develop appropriate advertising and marketing plans, publicize activities and events, and maintain media relations on behalf of businesses, governments and other organizations, and for performers, athletes, writers and other talented individuals."
12010.00,"Supervisors of general office and administrative support workers supervise and coordinate the activities of workers in the following minor groups: Office support and court services occupations (14.10) and Survey, statistical and data entry occupations (14.11)."
12011.00,"Supervisors of finance and insurance office workers supervise and coordinate the activities of workers in the following unit groups: Payroll administrators (13.102), Accounting and related clerks (14.200), Banking, insurance and other financial clerks (14.201) and Collection clerks (14.202)."
12012.00,"Supervisors of library, correspondence and related information workers supervise and coordinate the activities of workers in the following unit groups: Survey interviewers and statistical clerks (14.110), Library assistants and clerks (14.300), and Correspondence, publication and regulatory clerks (14.301)."
12013.00,"Supervisors of supply chain, tracking and scheduling coordination occupations supervise the activities of workers in unit group 13201 Production and transportation logistics coordinators and in sub-major group 144 Supply chain logistics, tracking and scheduling coordination occupations."
12100.00,"Executive assistants coordinate administrative procedures, public relations activities and research and analysis functions for members of legislative assemblies, ministers, deputy ministers, corporate officials and executives, committees and boards of directors."
12101.00,"Human resources and recruitment officers identify and advertise job vacancies, recruit candidates, and assist in the selection and reassignment of employees."
12102.00,"Procurement and purchasing agents and officers source and purchase general and specialized equipment, materials, business services and land or access rights for use or for further processing by their establishment."
12103.00,"Conference and event planners plan, organize and coordinate conferences, conventions, meetings, seminars, exhibitions, trade shows, festivals and other events."
12104.01,Excise tax revenue officers administer and enforce laws and regulations related to tax revenue.
12104.02,Government benefits services officers administer and enforce laws and regulations related to employment insurance and other government benefit services.
12110.01,"Court reporters record and transcribe verbatim the proceedings of courts, legislative assemblies and committees, and prepare transcripts for use by judges, tribunals and quasi-judicial panels."
12110.02,"Medical transcriptionists record, transcribe and edit dictation by physicians and other health care providers, surgical proceedings, health-related reports and other medical documentation."
12111.00,"Health information management workers collect, code, record, review and manage health information. Health information management occupations who are supervisors are included in this unit group."
12112.00,"Records management technicians operate and maintain systems for the collection, classification, retrieval and retention of records, images, documents and information."
12113.00,"Statistical officers and workers in related research support occupations provide statistical and research support services to a wide range of businesses and organizations. These workers conduct statistical routines, monitor trends, compile data and prepare charts, graphs, summaries and reports in support of organizational information needs and research activities."
12200.00,"Accounting technicians and bookkeepers maintain complete sets of books, keep records of accounts, verify the procedures used for recording financial transactions, and provide personal bookkeeping services."
12201.01,Insurance adjusters investigate insurance claims and determine the amount of loss or damages covered by insurance policies.
12201.02,Insurance claims examiners examine claims investigated by insurance adjusters and authorize payments.
12202.00,"Insurance underwriters review and evaluate insurance applications to determine insurance risks, insurance premiums and extent of insurance coverage according to company policies."
12203.01,"Assessors determine the value of land, businesses, estates and other real property, for purposes of sale, purchase, taxation and disposal of assets."
12203.02,"Business valuators quantify the value of a business, its securities or its intangible assets."
12203.03,"Appraisers determine the value of property, building, industrial and commercial machinery and equipment and personal and household items."
13100.00,"Administrative officers oversee and implement administrative procedures, establish work priorities, conduct analyses of administrative operations and coordinate acquisition of administrative services such as office space, supplies and security services. Administrative officers who are supervisors are included in this unit group."
13101.00,Property administrators perform administrative duties and coordinate activities related to the management and rental of investment property and real estate on behalf of property and strata property owners.
13102.00,"Payroll administrators collect, verify and process payroll information, determine pay and benefit entitlements for employees, maintain accurate payroll records, and provide payroll information within a department, company or other establishment."
13110.00,Administrative assistants perform a variety of administrative duties in support of managerial and professional employers.
13111.00,"Legal administrative assistants perform a variety of secretarial and administrative duties in law offices, legal departments of large firms, real estate companies, land title offices, municipal, provincial and federal courts and government."
13112.00,"Medical administrative assistants perform a variety of secretarial and administrative duties in doctor's offices, hospitals, medical clinics and other medical settings."
13200.01,Customs brokers clear goods through customs and to their destination on behalf of importer and exporter clients.
13200.02,"Shipbrokers buy and sell cargo space on ships and buy and sell ships, yachts and other watercraft on behalf of clients."
13201.01,"Production logistics coordinators coordinate and expedite the flow of work within an establishment, prepare work and production schedules and monitor the progress of production and construction projects."
13201.02,Transportation logistics coordinators coordinate and monitor the movement of products and ensure that products are shipped and received on schedule.
14100.01,"General office support workers prepare correspondence, reports, statements and other material, operate office equipment, answer telephones and perform clerical duties of a general nature according to established procedures."
14100.02,"File clerks organize papers, records, documents and other material according to subject matter or other filing system."
14101.01,"Receptionists greet people arriving at offices, hospitals and other establishments, direct visitors to appropriate persons and services, answer and forward telephone calls, take messages, schedule appointments and perform other clerical duties."
14101.02,Hospital admitting clerks greet people arriving at hospitals and obtain information to direct them to medical service areas.
14101.03,"Switchboard and answering service operators operate a telephone system or switchboard to answer, screen and forward telephone calls and provide information."
14101.04,Telephone operators operate telephone systems to advance and complete customers’ telephone calls.
14102.00,"Personnel clerks assist personnel officers and human resources specialists and compile, maintain and process information relating to staffing, recruitment, training, labour relations, performance evaluations and classifications"
14103.00,"Court clerks and workers in related court services occupations perform administrative, security, and other support functions for courts of law such as scheduling trials, processing service fees, calling court to order, preparing court dockets and maintaining exhibits, recording trial proceedings and maintaining  court records. They also facilitate court security and public safety, liaise with law enforcement organizations, and provide support to the judiciary."
14110.01,"Survey interviewers contact individuals to gather information for market research, public opinion polls or election and census enumeration."
14110.02,"Statistical clerks code and compile interview and other data into reports, lists, directories and other documents."
14111.00,"Data entry clerks input coded, statistical, financial and other information into computerized databases, spreadsheets or other templates using a keyboard, mouse, or optical scanner, speech recognition software or other data entry tools."
14112.01,"Desktop publishing operators operate desktop publishing software and equipment to design, lay out and produce copy ready to be print."
14112.02,Typesetting input and output operators use computers to enter copy into a typesetting system or operate typesetting output equipment to produce text that is ready to print.
14200.00,"Accounting and related clerks calculate, prepare and process bills, invoices, accounts payable and receivable, budgets and other financial records according to established procedures."
14201.01,"Bank clerks compile, process and maintain banking and other financial information."
14201.02,"Insurance clerks compile, process and maintain insurance information."
14201.03,"Financial clerks compile, process and maintain financial information."
14202.00,Collection clerks collect payments on overdue accounts and bad cheques and locate debtors to make collection arrangements.
14300.00,"Library assistants and clerks issue and receive library materials, sort and shelve books and provide general library information to users. They also perform clerical functions."
14301.01,"Classified advertising clerks take orders, calculate rates, bill customers for classified advertisements, write and edit ad copy and perform other related clerical duties."
14301.02,"Correspondence clerks write correspondence, proofread material for accuracy and perform other related clerical duties in accordance with established procedures, guidelines and schedules."
14301.03,"Proofreaders and editorial assistants assist in the preparation of periodicals, advertisements, catalogues, directories and other material for publication by conducting research, verifying facts and detecting grammatical, typographical or compositional errors."
14301.04,"Readers and press clippers read newspapers, magazines, press releases and other publications to locate, file and distribute articles and to perform other related clerical duties in accordance with established procedures, guidelines and schedules."
14301.05,"Regulatory clerks compile, verify, record and process applications, licences, permits, contracts, registrations, requisitions and other forms and documents in accordance with established procedures using processing systems; and authorize and issue licences, permits, registration papers, reimbursements and other material after requested documents have been processed and approved."
14400.00,"Shippers and receivers ship, receive and record the movement of parts, supplies, materials, equipment and stock to and from an establishment."
14401.00,"Storekeepers and partspersons sort, store and issue parts and supplies for use by the establishment in which they work and for sale to the public. Apprentices are also included in this unit group."
14402.00,Production logistics workers expedite the flow of work and materials within an establishment and prepare merchandise ready for shipment.
14403.01,"Purchasing control workers process purchasing transactions, resolve supply problems and prepare and maintain files, reports and price lists."
14403.02,"Inventory control workers compile and maintain inventories of materials, equipment and stock, and monitor inventory levels."
14404.00,"Dispatchers operate radios and other telecommunication equipment to dispatch emergency vehicles and to coordinate the activities of drivers and other personnel. They are employed by police, fire and health departments, other emergency service agencies, taxi, delivery and courier services, trucking and utilities companies, and other commercial and industrial establishments."
14405.00,Transportation route and crew schedulers prepare operational and crew schedules for transportation equipment and operating personnel.
20010.00,"Engineering managers plan, organize, direct, control and evaluate the activities of an engineering department, service or firm."
20011.01,"Architecture and urban planning managers plan, organize, direct, control and evaluate the activities and operations of an urban planning service or an architectural firm. They develop and implement policies, standards and procedures for the architectural and urban planning work performed in the department, service, or firm."
20011.02,"Science managers plan, organize, direct, control and evaluate the research, development or production activities of a scientific research and development laboratory or firm. They develop and implement policies, standards and procedures for the scientific and technical work performed in the laboratory, department, service, or firm."
20012.00,"Computer and information systems managers plan, organize, direct, control and evaluate the activities of organizations that analyze, design, develop, implement, operate and administer computer and telecommunications software, networks and information systems."
21100.01,"Physicists conduct theoretical and applied research to extend knowledge of natural phenomena and to develop new processes and devices in fields such as electronics, communications, power generation and distribution, aerodynamics, optics and lasers, remote sensing, biotechnology, medicine and health."
21100.02,Astronomers conduct observational and theoretical research to extend knowledge of the universe.
21101.00,"Chemists conduct research and analysis in support of industrial operations, product and process development, quality control, environmental control, medical diagnosis and treatment, biotechnology, nanotechnology and other applications. They also conduct theoretical, experimental and applied research into basic chemical and biochemical processes to create or synthesize new products and processes."
21102.01,"Geoscientists include geologists, geochemists and geophysicists who conduct programs of exploration and research to extend knowledge of the structure, composition and processes of the earth, to locate, identify and extract hydrocarbon, mineral and groundwater resources and to assess and mitigate the effects of development and waste disposal projects on the environment."
21102.02,"Oceanographers conduct programs of exploration and research on ocean processes and phenomena, biological, chemical and physical characteristics of oceans, interactions with atmospheric and geological environments and impacts of human activity on oceans and marine ecosystems"
21103.00,"Meteorologists and climatologists analyze and forecast weather, provide consultation on atmospheric phenomena and conduct research into the processes and phenomena of weather, climate and atmosphere."
21109.01,Metallurgists conduct theoretical and applied research in metallurgy.
21109.02,"Materials scientists conduct theoretical and applied research into the properties, composition and production of materials."
21109.03,Soil scientists conduct theoretical and applied research in soil science.
21109.04,"Astronauts command, pilot or serve as crew members of a spacecraft to conduct scientific experiments and research, and participate in space missions as mission specialists to maintain spacecraft, install and repair space station equipment and launch and recapture satellites."
21110.01,"Biologists conduct basic and applied research to extend knowledge of living organisms, to manage natural resources, and to develop new practices and products related to medicine and agriculture."
21110.02,"Microbiologists conduct basic and applied research to extend knowledge of living micro-organisms, to manage natural resources, and to develop new practices and products related to medicine and agriculture."
21111.00,"Forestry professionals conduct research, develop plans and administer and direct programs related to the management and harvesting of forest resources."
21112.00,"Agricultural representatives, consultants and specialists provide assistance and advice to farmers on all aspects of farm management, cultivation, fertilization, harvesting, soil erosion and composition, disease prevention, nutrition, crop rotation and marketing."
21120.00,"Public and environmental health and safety professionals review, evaluate and monitor public health and environmental safety hazards and develop strategies to prevent, control and eliminate disease and environmental impact caused by biological and chemical factors. They inspect restaurants, industrial establishments, municipal water systems, public facilities, and institutions to ensure compliance with government regulations regarding sanitation, pollution control and the handling and storage of hazardous substances."
21200.00,"Architects conceptualize, plan and develop designs for the construction and renovation of commercial, institutional and residential buildings."
21201.00,"Landscape architects conceptualize, design, plan and manage the construction of natural, cultural and built landscape development for commercial projects, office complexes, parks, golf courses and residential development."
21202.00,"Urban and land use planners develop plans and recommend policies for managing land use, physical facilities and associated services for urban and rural areas and remote regions."
21203.00,"Land surveyors plan, direct and conduct legal surveys to establish the location of real property boundaries, contours and other natural or human-made features, and prepare and maintain cross-sectional drawings, official plans, records and documents pertaining to these surveys."
21210.01,"Mathematicians research mathematical theories and develop and apply mathematical techniques to solve problems in such fields as science, engineering, business and social sciences."
21210.02,"Statisticians research statistical theories, and develop and apply statistical techniques to solve problems in such fields as science, engineering, business and social sciences."
21210.03,"Actuaries apply mathematics, statistics, probability and risk theory to assess potential financial impacts of future events."
21211.00,"Data scientists use advanced analytics technologies, including machine learning and predictive modelling, to support the identification of trends, scrape information from unstructured data sources and provide automated recommendations."
21220.00,"Cybersecurity specialists develop, plan, recommend, implement, improve and monitor security measures to protect an organization's computer networks, connected devices and information to prevent unauthorized access, use, disclosure, disruption, modification, or destruction of the information or of the systems on which the information resides."
21221.00,"Business systems specialists perform detailed system tests, produce reports and develop new system architectures. They must also identify the strategic objectives of a company and  translate these objectives into achievable tasks for an organization's information technology department."
21222.00,"Information systems specialists analyze, test and assess systems requirements, develop and implement information systems development plans, policies and procedures, and provide advice on a wide range of information systems issues."
21223.01,"Database analysts design, develop and administer data management solutions."
21223.02,"Data administrators develop and implement data administration policy, standards and models."
21230.00,"Computer systems developers and programmers write, modify, integrate and test computer code for software applications, data processing applications, operating systems-level software and communications software."
21231.00,"Software engineers and designers research, design, evaluate, integrate and maintain software applications, technical environments, operating systems, embedded software, information warehouses and telecommunications software."
21232.00,"Software developers and programmers design, write, and test code for new systems and software to ensure efficiency. They create the foundations for operative systems and run diagnostic programs to certify effectiveness."
21233.00,"Web designers develop and create the visual presentation, layout and functionality of the Web sites and related applications. They are responsible for ensuring that the Web site is easy to use, and that the information is easy to access."
21234.00,"Web developers and programmers use a variety of programming languages to design, create and modify Web sites. They analyze users’ needs to implement content, graphics, performance, and Web site capacity. They may also integrate Web sites with other computer applications."
21300.00,"Civil engineers plan, design, develop and manage projects for the construction or repair of buildings, earth structures, powerhouses, roads, airports, railways, rapid transit facilities, bridges, tunnels, canals, dams, ports and coastal installations and systems related to highway and transportation services, water distribution and sanitation. They may also specialize in foundation analysis, building and structural inspection, surveying, geomatics and municipal planning."
21301.00,"Mechanical engineers research, design and develop machinery and systems for heating, ventilating and air conditioning, power generation, transportation, processing and manufacturing. They also perform duties related to the evaluation, installation, operation and maintenance of mechanical systems."
21310.00,"Electrical and electronics engineers design, plan, research, evaluate and test electrical and electronic equipment and systems."
21311.01,"Computer and telecommunications hardware engineers research, plan, design, develop, modify, evaluate and integrate computer and telecommunications hardware and related equipment."
21311.02,"Network system and data communication engineers research, plan, design, develop, modify, evaluate and integrate information and communication system networks including mainframe systems, local and wide area networks, fibre-optic networks, wireless communication networks, intranets, the Internet and other data communications systems."
21320.00,"Chemical engineers research, design, and develop chemical processes and equipment, oversee the operation and maintenance of industrial chemical, plastics, pharmaceutical, resource, pulp and paper, and food processing plants and perform duties related to chemical quality control, environmental protection and biochemical or biotechnical engineering."
21321.00,"Industrial and manufacturing engineers conduct studies, and develop and supervise programs to achieve the best use of equipment, human resources, technology, materials and procedures to enhance efficiency and productivity."
21322.00,"Metallurgical and materials engineers conduct studies of the properties and characteristics of metals and other non-metallic materials and plan, design and develop machinery and processes to concentrate, extract, refine and process metals, alloys and other materials such as ceramics, semiconductors and composite materials."
21330.00,"Mining engineers plan, design, organize and supervise the development of mines, mine facilities, systems and equipment; and prepare and supervise the extraction of metallic or non-metallic minerals and ores from underground or surface mines."
21331.00,"Geological engineers conduct geological and geotechnical studies to assess suitability of locations for civil engineering, mining and oil and gas projects; and plan, design, develop and supervise programs of geological data acquisition and analysis and the preparation of geological engineering reports and recommendations."
21332.00,"Petroleum engineers conduct studies for the exploration, development and extraction of oil and gas deposits; and plan, design, develop and supervise projects for the drilling, completion, testing and re-working of oil and gas wells."
21390.00,"Aerospace engineers research, design and develop aerospace vehicles, aerospace systems and their components, and perform duties related to their testing, evaluation, installation, operation and maintenance."
21399.01,"Agricultural and bio-resource engineers design and develop machinery, structures, equipment and systems related to agriculture and food processing."
21399.02,Biomedical engineers apply established engineering principles to design and develop new diagnostic and clinical instrumentation and procedures for medical practice and biomedical research.
21399.03,Engineering physicists and engineering scientists conduct research to expand fundamental knowledge in applied sciences.
21399.04,"Marine and naval engineers design and supervise installations and repairs of power plants, propulsion systems, heating and ventilating systems and other mechanical and electrical equipment in marine and naval facilities."
21399.05,"Textile engineers design and develop processes, equipment and procedures for the production of fibres, yarns and textiles."
22100.01,"Chemical technologists provide technical support and services or may work independently in chemical engineering, chemical and biochemical research and analysis, industrial chemistry, chemical quality control and environmental protection."
22100.02,"Chemical technicians provide technical support and services or may work independently in chemical engineering, chemical and biochemical research and analysis, industrial chemistry, chemical quality control and environmental protection."
22101.01,"Geological and mineral technologists provide technical support and services or may work independently in the fields of oil and gas exploration and production, geophysics, petroleum engineering, geology, mining and mining engineering, mineralogy, extractive and physical metallurgy, metallurgical engineering and environmental protection."
22101.02,"Geological and mineral technicians provide technical support and services or may work independently in the fields of oil and gas exploration and production, geophysics, petroleum engineering, geology, mining and mining engineering, mineralogy, extractive and physical metallurgy, metallurgical engineering and environmental protection."
22110.01,"Biological technologists provide technical support and services to scientists, engineers and other professionals working in fields such as agriculture, resource management, environmental protection, plant and animal biology, microbiology, cell and molecular biology and health sciences, or may work independently in these fields."
22110.02,"Biological technicians provide technical support and services to scientists, engineers and other professionals working in fields such as agriculture, resource management, environmental protection, plant and animal biology, microbiology, cell and molecular biology and health sciences, or may work independently in these fields."
22111.01,"Fish and fish products inspectors inspect fish products for conformity to prescribed production, storage and transportation standards. Supervisors of fish products inspectors are also included in this occupation."
22111.02,"Fruit and vegetable inspectors inspect agricultural products for conformity to prescribed production, storage and transportation standards. Supervisors of agricultural products inspectors are also included in this occupation."
22111.03,"Grain inspectors ensure that grain products conform to production, storage and transportation standards. Supervisors of agricultural products inspectors are also included in this occupation."
22111.04,"Meat inspectors inspect meat products for conformity to prescribed production, storage and transportation standards. Other agricultural products inspectors inspecting dairy and poultry products, and supervisors of agricultural products inspectors, are also included in this occupation."
22111.05,"Plant protection inspectors inspect agricultural products for conformity to prescribed production, storage and transportation standards. Supervisors of agricultural products inspectors are also included in this occupation."
22112.00,"Forestry technologists and technicians may work independently or perform technical and supervisory functions in support of forestry research, forest management, forest harvesting, forest resource conservation and environmental protection."
22113.00,"Conservation and fishery officers, inspectors and observers enforce federal and provincial regulations established for the protection of fish, wildlife and other natural resources and collect and relay information on resource management."
22114.01,Arborists and tree service technicians examine and treat injured and diseased trees and plants.
22114.02,"Golf course superintendents supervise, and co-ordinate activities of workers engaged in maintaining grounds, greens and turf of golf courses."
22114.03,Horticulturists conduct experiments and studies of fruits and flowers to develop and improve plant varieties and production methods.
22114.04,Landscape designers and landscape architectural technicians and technologists survey and assess landscapes and assist in designing landscaped environments.
22114.05,"Landscape gardeners assist in landscaping grounds around residential, commercial and industrial establishments."
22114.06,Landscapers plan and construct landscaped environments.
22114.07,Lawn care specialists apply products to customers' lawns and promote lawn care services.
22210.00,"Architectural technologists and technicians may work independently or provide technical assistance to professional architects and civil design engineers in conducting research, preparing drawings, architectural models, specifications and contracts and in supervising construction projects."
22211.00,Industrial designers conceptualize and produce designs for manufactured products.
22212.01,"Drafting technologists prepare engineering designs, drawings and related technical information, in multidisciplinary engineering teams or in support of engineers, architects and industrial designers, or they may work independently."
22212.02,"Drafting technicians prepare engineering designs, drawings and related technical information, in multidisciplinary engineering teams or in support of engineers, architects and industrial designers, or they may work independently."
22213.01,"Land survey technologists conduct or participate in surveys to determine the exact locations and relative positions of natural features and other structures on the earth's surface, underground and underwater."
22213.02,"Land survey technicians participate in surveys to determine the exact locations and relative positions of natural features and other structures on the earth's surface, underground and underwater."
22214.01,"Cartographic technologists and technicians prepare and revise maps and charts from photographs, manuscripts, survey notes and other maps."
22214.02,"Photogrammetric technologists and technicians co-ordinate the preparation of topographical maps, charts and related material from aerial photographs and other data."
22214.03,Aerial survey technologists and technicians operate remote sensing equipment and interpret aerial photographs.
22214.04,"Geographic information systems technologists and technicians operate computer-based systems to model and manage geospatial data and prepare geographic reports, maps and charts."
22214.05,"Meteorological technologists and technicians observe weather and atmospheric conditions, record, interpret, transmit and report on meteorological data, and provide weather information to the agricultural, natural resources and transportation industries and the public."
22220.01,"Computer and network operators establish, operate, maintain, and co-ordinate the use of local and wide area networks (LANs and WANs), mainframe networks, hardware, software and related computer equipment. Supervisors of computer and network operators and web technicians are included in this occupation."
22220.02,"Web technicians set up and maintain Internet, extranet and intranet Web sites and Web server hardware and software, and monitor and optimize network connectivity and performance. Supervisors of web technicians are included in this occupation."
22221.00,User support technicians provide first-line technical support to computer users experiencing difficulties with computer hardware and with computer applications and communications software.
22222.00,Information systems testing technicians execute test plans to evaluate the performance of software applications and information and telecommunications systems.
22230.00,"Non-destructive testers and inspectors operate radiographic, ultrasonic, liquid penetrant, magnetic particle, eddy current and similar testing equipment to detect discontinuities in objects of various compositions and materials."
22231.01,Motor vehicle defects inspectors examine automobiles and trucks to ensure that they conform to government and industry standards and regulations.
22231.02,Railway accident investigation officers examine railway accidents to determine their causes and inspect railway property and equipment to ensure that they conform to standards and regulations.
22231.03,"Airworthiness inspectors examine aircraft and instruments, processes and equipment to ensure that they conform to government and industry standards and regulations."
22231.04,"Inspectors, weights and measures examine devices, such as scales, meters and industrial instruments and equipment, to ensure that they conform to government and industry standards and regulations."
22231.05,Oil and gas drilling rig inspectors conduct onshore and offshore inspections of drilling and well servicing equipment and processes to ensure compliance with regulations and policies and to recommend improvements and corrective action.
22232.00,"Occupational health and safety specialists review, evaluate and monitor health and safety hazards and develop strategies to prevent, control and eliminate accidents and occupational injuries. They inspect the workplace environments, equipment and practices to ensure compliance with organization and government environment, health and safety standards and regulations."
22233.00,"Construction inspectors inspect the construction and maintenance of new and existing buildings, bridges, highways and industrial construction to ensure that specifications and building codes are observed and monitor work site safety."
22300.01,"Civil engineering technologists provide technical support and services to scientists, engineers and other professionals."
22300.02,"Civil engineering technicians provide technical support and services to scientists, engineers and other professionals."
22301.01,"Mechanical engineering technologists provide technical support and services or may work independently in mechanical engineering fields such as the design, development, maintenance and testing of machines, components, tools, heating and ventilating systems, geothermal power plants, power generation and power conversion plants, manufacturing plants and equipment."
22301.02,"Mechanical engineering technicians provide technical support and services or may work independently in mechanical engineering fields such as the design, development, maintenance and testing of machines, components, tools, heating and ventilating systems, power generation and power conversion plants, manufacturing plants and equipment."
22302.01,"Industrial engineering and manufacturing technologists may work independently or provide technical support and services in the development of production methods, facilities and systems, and the planning, estimating, measuring and scheduling of work."
22302.02,"Industrial engineering and manufacturing technicians may work independently or provide technical support and services in the development of production methods, facilities and systems, and the planning, estimating, measuring and scheduling of work."
22303.00,"Construction estimators analyze costs of and prepare estimates on civil engineering, architectural, structural, electrical and mechanical construction projects."
22310.01,"Electrical and electronics engineering technologists may work independently or provide technical support and services in the design, development, testing, production and operation of electrical and electronic equipment and systems."
22310.02,"Electrical and electronics engineering technicians may work independently or provide technical support and services in the design, development, testing, production and operation of electrical and electronic equipment and systems."
22311.00,"Electronic service technicians service and repair household and business electronic equipment such as audio and video systems, computers and peripherals, office equipment and other consumer electronic equipment and assemblies."
22312.00,"Industrial instrument technicians and mechanics repair, maintain, calibrate, adjust, and install industrial measuring and controlling instrumentation."
22313.01,"Aircraft instrument mechanics and technicians install, adjust, repair, overhaul and test engine, navigation and gyroscopic instrument components and aircraft instruments used for measuring and indicating physical characteristics such as altitude, airspeed, temperature and pressure."
22313.02,"Aircraft electrical mechanics and technicians install, repair and service aircraft electrical equipment and systems."
