Code de profil professionnel SIPeC,Fonctions principales
00013.00,"représenter l'organisation, ou déléguer des représentants, pour agir au nom de l'organisation lors de négociations ou autres fonctions officielles."
00014.00,"établir les objectifs de la compagnie, formuler et approuver ses politiques et ses programmes;"
00014.00,autoriser et organiser l'établissement des principaux services de l'organisation et la création des postes de niveau supérieur qui s'y rattachent;
00014.00,"allouer les ressources humaines, matérielles et financières nécessaires à la mise en oeuvre des politiques et des programmes de la compagnie, établir les contrôles administratifs et financiers, formuler et approuver les campagnes de promotion, et approuver le plan d'ensemble de la gestion des ressources humaines;"
00014.00,"sélectionner les cadres intermédiaires, les directeurs et autre personnel de direction;"
00014.00,"coordonner le travail des régions, des divisions ou des services;"
00014.00,"représenter la compagnie, ou déléguer des représentants, pour agir au nom de la compagnie lors de négociations ou autres fonctions officielles."
00015.00,"établir les objectifs de la compagnie, et formuler ou approuver ses politiques et ses programmes;"
00015.00,autoriser et organiser l'établissement des principaux services de la compagnie et la création des postes de niveau supérieur qui s'y rattachent;
00015.00,"allouer les ressources humaines, matérielles et  financières nécessaires à la mise en oeuvre des politiques et des programmes de la compagnie; établir les contrôles administratifs et financiers, formuler et approuver les campagnes de promotion et approuver le plan d'ensemble de la gestion des ressources humaines;"
00015.00,"sélectionner les cadres intermédiaires, les directeurs et autre personnel de direction;"
00015.00,"coordonner le travail des régions, des divisions ou des services de la compagnie;"
00015.00,"représenter la compagnie, ou déléguer des représentants pour agir au nom de la compagnie, lors de négociations ou autres fonctions officielles."
10010,"planifier, organiser, diriger, contrôler et évaluer les activités d'un service de comptabilité, de vérification ou autre service financier;"
10010,"élaborer et mettre en oeuvre les politiques, les procédures et les systèmes financiers d'un établissement;"
10010,"préparer les états financiers, les états récapitulatifs et les autres rapports d'analyse de rentabilité et de gestion financière ou en coordonner la préparation;"
10010,"coordonner le processus de planification financière et de budget, en faire l'analyse et corriger les prévisions;"
10010,superviser le développement et la mise sur pied de modèles de simulation financière;
10010,"évaluer les systèmes de rapports financiers, les pratiques comptables et les initiatives d'investissement et proposer des modifications concernant les procédés, les systèmes d'exploitation, les budgets et autres fonctions de contrôle financier aux cadres supérieurs et chefs d'autres services ou aux directeurs régionaux;"
10010,"embaucher, organiser, former et gérer le personnel;"
10010,"faire la liaison entre l'entreprise et ses actionnaires, le public investisseur et les analystes financiers externes;"
10010,définir les normes de rentabilité de projets d'investissement et s'occuper des fusions ou des acquisitions;
10010,aviser et rapporter à la haute direction toute tendance critique par rapport à la performance financière de l'entreprise.
10011,"planifier, organiser, diriger, contrôler et évaluer les activités d'un service du personnel ou des ressources humaines;"
10011,planifier les besoins en ressources humaines de concert avec les directeurs des différents services;
10011,coordonner les activités de formation interne et externe et les activités de recrutement;
10011,élaborer et mettre en oeuvre les politiques et les procédures sur les relations de travail et négocier des conventions collectives;
10011,"administrer les programmes de perfectionnement, de formation linguistique et de santé et de sécurité des employés;"
10011,conseiller et aider les différents directeurs de service à interpréter et à administrer les politiques et les programmes du personnel;
10011,voir à la classification et à l'évaluation des postes;
10011,"organiser et diriger les réunions d'information sur les politiques d'emploi, la rémunération et les avantages sociaux et participer activement à divers comités paritaires;"
10011,gérer le programme de gestion de la qualité de l'entreprise;
10011,"s'assurer que les lois relatives au travail, telles que la Loi sur l'équité salariale, soient respectées."
10012,"planifier, organiser, diriger, contrôler et évaluer les activités d'achats d'un établissement;"
10012,développer des politiques et des procédures d'achat et contrôler le budget du service des achats;
10012,"identifier les vendeurs de matériel, d'équipement ou de fournitures;"
10012,évaluer le coût et la qualité des produits ou des services;
10012,négocier ou superviser la négociation de contrats d'achat;
10012,"participer à l'élaboration des spécifications pour l'équipement, les produits ou les matériaux de substitution;"
10012,examiner et traiter les plaintes à l'endroit des fournisseurs;
10012,"faire passer les entrevues, embaucher le personnel et veiller à sa formation."
10019,"planifier, organiser, diriger, contrôler et évaluer les opérations d'un service qui fournit un ou plusieurs services administratifs;"
10019,"diriger et conseiller les employés qui accomplissent des tâches telles que la gestion des dossiers, les services de sécurité et la gestion des finances, des achats, des ressources humaines ou autres fonctions administratives;"
10019,diriger et contrôler les démarches de régie interne et de conformité aux règlements adoptées par l'organisation;
10019,"planifier, administrer et contrôler le budget des contrats, de l'équipement et des fournitures;"
10019,rédiger des rapports et des documents d'information à l'intention des comités de gestion chargés d'évaluer les services administratifs;
10019,"faire passer des entrevues, embaucher le personnel et veiller à sa formation."
10020.01,"planifient, organisent, dirigent, contrôlent et évaluent les activités d'un établissement ou d'un service qui vend de l'assurance-automobile, de l'assurance-incendie, de l'assurance-vie, de l'assurance de biens et d'autres types d'assurances."
10020.02,"planifient, organisent, dirigent, contrôlent et évaluent les activités d'un établissement ou d'un service qui achète, qui vend et qui loue des propriétés résidentielles et commerciales pour des clients."
10020.03,"planifient, organisent, dirigent, contrôlent et évaluent les activités d'un établissement ou d'un service qui trouve des prêteurs ou des établissements de crédit pour des clients qui cherchent une hypothèque."
10020.04,"planifient, organisent, dirigent, contrôlent et évaluent les activités d'un établissement ou d'un service qui achète et qui vend des actions, des obligations et d'autres formes de valeurs mobilières pour le compte de clients particuliers ou d'établissements et gèrent les placements de leur propre clientèle."
10021.01,"cultiver des relations d'affaires dans leur milieu de façon à promouvoir la vente de prêts, d'investissements et autres services bancaires afin d'attirer des particuliers et des représentants d'entreprises;"
10021.01,"analyser, examiner et approuver ou rejeter les demandes de prêts et de crédit en conformité aux limites autorisées;"
10021.01,voir au traitement des formules de demande de prêt et des enquêtes de crédit;
10021.01,surveiller la préparation des rapports financiers mensuels et des rapports sur l'évolution de la succursale;
10021.01,"planifier, organiser, diriger, contrôler et évaluer les activités d'une division dans des banques, des sociétés de fiducie, des coopératives de crédit ou d'autres institutions financières, ou d'un service dans ces institutions, notamment, gérer les prêts personnels et commerciaux, acheter ou vendre des valeurs mobilières, gérer des fonds d'investissement, administrer des fiducies, régler des successions et effectuer d'autres opérations connexes;"
10021.01,veiller à ce que les politiques et procédures soient appliquées conformément aux lignes directrices établies et faire des recommandations visant à améliorer le processus;
10021.01,interviewer des particuliers et des représentants d'entreprises et répondre aux demandes des clients;
10021.01,embaucher le personnel et identifier les besoins en matière de formation.
10021.02,administrer les comptes de prêts personnels ou commerciaux et les comptes de prêts aux grandes entreprises;
10021.02,conseiller les clients sur le choix des services financiers commerciaux et personnels correspondant à leurs besoins;
10021.02,veiller à ce que les politiques et procédures relatives au crédit soient appliquées conformément aux lignes directrices établies et selon les lois applicables en matière de financement;
10021.02,"planifier, organiser, diriger, contrôler et évaluer les activités d'un service du crédit dans des établissements industriels ou commerciaux;"
10021.02,"examiner et analyser les demandes de prêts et de crédit, les garanties offertes et faire des recommandations;"
10021.02,approuver ou refuser les demandes de crédit en conformité aux limites autorisées et établir la limite de crédit et le calendrier de remboursement;
10021.02,veiller au recouvrement des comptes en souffrance ou non payés;
10021.02,préparer des rapports de crédit et de prêts;
10021.02,embaucher le personnel et identifier les besoins en matière de formation.
10022.01,"planifient, dirigent et évaluent les activités des entreprises et des services qui élaborent et lancent des campagnes de promotion de la vente des produits et des services."
10022.02,"établissent des réseaux de distribution pour les produits et les services, effectuent des études de marché et analysent leurs résultats; ils participent à l'élaboration des produits, dirigent et évaluent les stratégies de commercialisation des établissements."
10022.03,"dirigent et évaluent les établissements et les services qui élaborent et mettent sur pied des stratégies de communication et des programmes d'information; ils font la publicité pour annoncer des activités et des événements et s'occupent des relations avec les médias au nom des entreprises, des gouvernements et autres organisations."
10022.04,"planifient, organisent, dirigent, contrôlent et évaluent la conception, le développement et la mise à jour des sites Internet et Intranet ainsi que d'applications mobiles pour gérer le modèle commercial et la stratégie en ligne d’une organisation;"
10022.04,"collaborent avec les équipes de publicité, de marketing et de relations publiques pour planifier, développer, évaluer et gérer la présence en ligne d’une organisation, y compris les relations publiques, les communications, le marketing, les activités commerciales et la gestion des médias sociaux."
10029,"planifier, organiser, diriger, contrôler et évaluer les activités d'établissements offrant des services aux entreprises tels que des cabinets de conseils en gestion, et des services d'étude de marché, de gestion du personnel et de la paye, de centres de contact et de sécurité;"
10029,"planifier, élaborer et organiser les politiques et les procédures de ces établissements;"
10029,élaborer des plans d'intervention et fournir une expertise spécifique répondant aux besoins de la clientèle et encadrer et conseiller les équipes qui réalisent les mandats;
10029,diriger les employés et leur donner des conseils sur le développement et la mise en oeuvre des stratégies d'évaluation de la qualité du service;
10029,"planifier, administrer et surveiller le budget des projets des clients, des contrats, de l'équipement et des fournitures;"
10029,représenter l'entreprise au sein de divers organismes économiques et sociaux;
10029,aider le personnel à résoudre les problèmes d'ordre administratif ou technique;
10029,"embaucher le personnel, assurer sa formation et sa supervision."
10030,"planifier, organiser, diriger, contrôler et évaluer les opérations d'un établissement, d'un service ou d'une installation de télécommunications;"
10030,"consulter les directeurs principaux pour établir les politiques régissant l'élaboration, l'exploitation et la maintenance des services de télécommunications;"
10030,"diriger et contrôler le volume et l'écoulement du trafic de télécommunications dans le secteur désigné, par le truchement de superviseurs subalternes et d'employés techniques;"
10030,analyser et évaluer l'installation et les services d'opération et d'entretien des télécommunications et formuler des recommandations en vue de leur amélioration;
10030,veiller à ce que les règlements en matière de télécommunications et les directives des organismes gouvernementaux de réglementation soient respectés;
10030,assurer la liaison avec les représentants de filiales ou de compagnies de transit pour régler des problèmes communs de télécommunications et assurer l'exploitation efficace du système de télécommunications;
10030,recruter le personnel et voir à  sa formation.
11100.01,"examiner et analyser les livres de comptes et le grand livre, les états de compte, les inventaires, les dépenses, les déclarations de revenus et autres pièces comptables, les registres et les systèmes financiers de particuliers, de services à l'intérieur d'entreprises ou de sociétés, ou tout autre genre d'établissement afin de vérifier l'exactitude des écritures et assurer la conformité aux méthodes comptables établies, aux procédures et aux vérifications internes;"
11100.01,rédiger un rapport de vérification détaillé et présenter des recommandations propres à améliorer les pratiques comptables et la situation financière du particulier ou de l'établissement;
11100.01,"effectuer des missions de vérification dans des entreprises afin d'assurer le respect des dispositions de la Loi de l'impôt sur le revenu, de la Loi canadienne sur les sociétés par actions et des autres obligations légales;"
11100.01,"superviser, au besoin, d'autres vérificateurs ou les personnes responsables de la comptabilité chez les clients."
11100.02,"concevoir, mettre en oeuvre et administrer des systèmes comptables et préparer des renseignements financiers pour des particuliers, des services à l'intérieur d'entreprises, des sociétés ou d'autres genres d'établissements;"
11100.02,"examiner les livres comptables, et préparer les états financiers et les rapports;"
11100.02,concevoir et appliquer des méthodes d'établissement et de comptabilisation du coût de revient et des procédures de contrôle interne;
11100.02,examiner les états et les comptes financiers et préparer les déclarations de revenus;
11100.02,analyser les états financiers et les rapports et donner des conseils dans le domaine financier ou fiscal;
11100.02,"remplir, à l'occasion, des fonctions de liquidateur dans des cas de faillite;"
11100.02,"superviser et former, s'il y a lieu, des stagiaires comptables, d'autres comptables ou des techniciens en administration."
11101.01,"évaluer des risques financiers, préparer des prévisions financières, des scénarios de financement et autres rapports concernant la gestion des capitaux et rédiger des rapports et des recommandations;"
11101.01,planifier les flux monétaires à court terme et à long terme et évaluer le rendement de la trésorerie;
11101.01,analyser les projets d'investissement;
11101.01,"participer au volet financier des contrats et appels d'offres, et fournir des conseils à cet égard;"
11101.01,faire le suivi des dossiers de financement auprès des bailleurs de fonds;
11101.01,"élaborer, mettre en oeuvre et exploiter des outils de gestion et d'analyse du portefeuille financier;"
11101.01,élaborer un profil de risque périodique relié au portefeuille de la dette;
11101.01,participer à la préparation des budgets d'opération et d'investissements;
11101.01,élaborer et mettre à jour les politiques financières ou de trésorerie.
11101.02,"recueillir des données financières et de placements touchant les entreprises, les actions et les obligations et autres investissements en consultant les rapports quotidiens sur les actions et les obligations, les prévisions économiques, le volume d'échanges, les revues financières, les guides de valeurs mobilières, les états financiers d'entreprises, et d'autres publications et rapports financiers;"
11101.02,"examiner et analyser l'information financière et de placement recueillie, y compris les profils d'entreprises, les prix des actions et des obligations, les rendements et les tendances futures et autres données reliées à l'investissement;"
11101.02,"donner des conseils et recommander des placements aux clients, aux cadres supérieurs d'entreprises, aux gestionnaires de caisses de retraite, aux agents en valeurs mobilières et aux associés;"
11101.02,"rédiger des prévisions économiques des entreprises et des industries, des rapports analytiques, des notes d'information et de la correspondance."
11102,"élaborer, pour leurs clients, des plans de planification financière personnels couvrant la gestion des liquidités, la planification financière, la couverture d'assurance, la planification d'investissements, la planification de retraite et de succession, la fiscalité et les aspects légaux;"
11102,"analyser leurs données financières, fixer des objectifs et établir une stratégie financière;"
11102,conseiller leurs clients sur la mise en oeuvre d'un plan financier leur permettant de réaliser leurs objectifs;
11102,"négocier, s'il y a lieu, l'achat et la vente de produits financiers selon leur titre de compétence, et assurer le maintien de la qualité du portefeuille et de sa rentabilité en faisant un suivi régulièrement;"
11102,"travailler, au besoin, à l'expansion des affaires, solliciter et prospecter de nouveaux clients."
11103.01,"développer une relation à long terme avec leurs clients en élaborant des stratégies d'investissement afin de réaliser leurs objectifs financiers, et en leur donnant des conseils et de l'information au sujet des divers placements, de manière à les guider dans la gestion de leur portefeuille;"
11103.01,"étudier les périodiques financiers, les rapports sur les actions et les obligations, les publications commerciales et d'autres documents, et tisser un réseau de relations au sein du secteur de la finance pour obtenir toute l'information pertinente afin de déterminer les placements intéressants pour les clients;"
11103.01,"exécuter des ordres sur les placements en achetant et en vendant des actions, des obligations, des bons du Trésor, des fonds communs de placement et d'autres valeurs pour des investisseurs, des gestionnaires de caisses de retraite ou des compagnies, telles que des banques, des sociétés de fiducie et des compagnies d'assurances;"
11103.01,vérifier les portefeuilles de placements des clients et s'assurer que les opérations de placement sont effectuées conformément aux règlements de l'industrie.
11103.02,"acheter et vendre des actions, des obligations, des biens, des devises étrangères et d'autres valeurs, à la bourse, au nom des agents en placements;"
11103.02,"élaborer des stratégies commerciales en étudiant les informations sur les placements, en surveillant les conditions du marché à partir du parquet de la bourse et en communiquant avec les services commerciaux des autres entreprises en placements, les gestionnaires de caisses de retraite et les analystes financiers des firmes de placements;"
11103.02,"faire des offres d'achat ou de vente des valeurs, et inscrire les détails des ventes sur les fiches d'ordre des bourses;"
11103.02,préparer des rapports sur le rendement du portefeuille.
11109.01,"examiner les documents des banques, des sociétés de fiducie, des coopératives de crédit, des caisses populaires, des sociétés de prêts, des sociétés immobilières, des compagnies d'assurance, des caisses de retraite, des courtiers en valeurs mobilières et d'autres institutions financières pour assurer le respect des lois et règlements régissant les institutions financières."
11109.02,"examiner les manquements éventuels au code de déontologie et aux lois sur les valeurs mobilières, qui sont commis soit par des personnes, soit par des compagnies qui fournissent des services en valeurs immobilières ou d'autres services financiers connexes."
11109.03,"analyser les demandes des clients afin d’évaluer le risque et les détails reliés aux actions, aux obligations, aux hypothèques ou toutes autres solutions de financement;"
11109.03,"négocier avec des sociétés, des administrations publiques ou des individus pour déterminer les types et les échéances des produits financiers et préparer des prospectus d'émissions ou des contrats;"
11109.03,"souscrire, au besoin, des émissions d'actions ou d'obligations."
11109.04,"administrer des successions, de même que des fiducies établies à l'intention des particuliers, des sociétés, des organismes de charité, et d'autres genres de fiducie;"
11109.04,"gérer des comptes fiduciaires, recevoir et enregistrer les revenus sur les investissements et disposer des fonds en fiducie."
11109.05,"rencontrer les clients pour les interroger sur leur revenu, leur actif et leur passif, ainsi que sur le genre, le prix et l'état des propriétés à hypothéquer;"
11109.05,"négocier des emprunts hypothécaires, au nom des clients, avec des prêteurs ou des établissements de prêts."
11200,"planifier, élaborer, appliquer et évaluer les stratégies en matière de ressources humaines et de relations de travail, y compris les politiques, les programmes et les procédures afin de satisfaire les besoins de l'organisation en ce qui a trait aux ressources humaines;"
11200,"renseigner les employeurs et les employés sur l'interprétation des politiques relatives aux ressources humaines, à la rémunération, aux régimes d'avantages sociaux et aux conventions collectives;"
11200,"négocier des conventions collectives au nom des employeurs ou des employés, agir en tant que médiateur dans les conflits de travail et les griefs et fournir des conseils sur les relations avec les employés et les relations de travail;"
11200,"élaborer des classifications de poste, des descriptions de travail et des échelles salariales, ainsi que des mesures et des systèmes d'évaluation des compétences, et effectuer les recherches nécessaires à cette fin;"
11200,"planifier et administrer les régimes de dotation et de rémunération globale, ainsi que les programmes de formation et de perfectionnement professionnel, d'aide aux employés, d'équité en matière d'emploi et d'action positive;"
11200,gérer des programmes et mettre à jour l'information sur les ressources humaines et les systèmes connexes de gestion de dossiers;
11200,recruter le personnel et veiller à sa formation;
11200,coordonner le programme d'évaluation du rendement des employés;
11200,"effectuer des recherches sur les usages en matière d'avantages sociaux, de santé et de sécurité et recommander des changements ou des modifications aux politiques existantes."
11201,fournir des conseils et du soutien aux entreprises sur les politiques et procédures réglementaires; assurer la conformité interne aux exigences réglementaires; et préparer les présentations et les documents à déposer devant les organismes de réglementation;
11201,analyser et donner des conseils sur les méthodes de gestion et sur l'organisation d'une entreprise du secteur public ou privé;
11201,mener des études afin de déterminer le bon fonctionnement et l'efficacité des politiques et des programmes de gestion;
11201,"effectuer des évaluations et proposer des améliorations aux méthodes, aux systèmes et aux procédures dans des domaines comme les opérations, les ressources humaines, la gestion des dossiers, la gestion de sécurité et les communications;"
11201,effectuer des vérifications de la qualité et élaborer des normes de gestion de la qualité et de contrôle de la qualité aux fins d'inscription auprès de l'Organisation internationale de normalisation (ISO);
11201,planifier la réorganisation des opérations d'une entreprise;
11201,"superviser, au besoin, des chercheurs contractuels ou du personnel de bureau."
11202,évaluer les caractéristiques des produits et des services à promouvoir afin de déterminer les besoins en matière de marketing et de publicité des établissements;
11202,"conseiller les clients sur des stratégies de marketing, de publicité ou de promotion des ventes;"
11202,élaborer les stratégies et le contenu des campagnes de publicité pour les médias imprimées ou électroniques et les mettre en oeuvre;
11202,"diriger l’analyse d’après-campagne pour mesurer les indicateurs de marketing et de publicités, et en rendre compte;"
11202,"Créer et tenir à jour les comptes de médias sociaux, ce qui comprend la gestion des commentaires et des témoignages des clients;"
11202,"élaborer, appliquer et évaluer des stratégies de relations publiques et des programmes destinés à informer les clients, les employés et le grand public des initiatives et des politiques des commerces, des gouvernements et d'autres organisations;"
11202,mener des enquêtes sur l'opinion et l'attitude du public pour cerner les intérêts et les préoccupations des groupes clés ciblés par l'organisation;
11202,"préparer des rapports, des mémoires, de bibliographies, des discours, des exposés, des sites Web et des communiqués de presse, ou veiller à leur préparation;"
11202,"préparer et organiser des ateliers, des réunions, des cérémonies et d'autres événements et programmes à des fins de publicité, de collecte de fonds et d'information;"
11202,"prendre des dispositions pour les entrevues, les conférences de presse et autres évènements médiatiques;"
11202,agir à titre de porte-parole pour un organisme et répondre aux demandes de renseignements verbales et écrites;
11202,coordonner les manifestations et les promotions publicitaires spéciales à l'intention des auditoires internes et externes;
11202,"collaborer à la rédaction de brochures, de rapports, de bulletins d'information et d'autres documents;"
11202,représenter des personnes de talent ou des personnes qui possèdent une expérience professionnelle particulière;
11202,"préparer des contrats avec des athlètes, des écrivains, des artistes ou d'autres personnes, ou veiller à leur préparation."
12010,"coordonner, répartir et réviser le travail des commis qui s'acquittent des tâches suivantes : faire du traitement de texte, faire de la tenue de dossiers et du classement; faire fonctionner des téléphones et des standards; faire de la saisie de données; faire de l'éditique et d'autres activités exigeant des compétences en travail de bureau et en administration;"
12010,"établir les horaires et les procédures de travail, et coordonner les activités avec les autres services ou divisions;"
12010,"résoudre les problèmes reliés au travail, et rédiger et présenter des rapports d'étapes et autres rapports;"
12010,"former les employés à leurs tâches, aux règles de sécurité et aux politiques de l'entreprise;"
12010,commander des fournitures et du matériel;
12010,"assurer le bon fonctionnement de l'équipement et du matériel de bureau, et voir à leur entretien et à leur réparation;"
12010,"exercer, au besoin, les mêmes fonctions que les personnes supervisées."
12011,"établir des méthodes de travail efficaces et coordonner, répartir et revoir le travail des commis qui accomplissent les tâches suivantes : administrer les comptes clients et les comptes fournisseurs; vérifier, traiter et enregistrer les formules et les documents financiers; administrer la feuille de paye; vérifier, traiter et enregistrer des réclamations et des formules d'assurance; et percevoir les droits d'utilisateurs et les paiements de comptes en souffrance;"
12011,"examiner et vérifier l'exactitude du travail et autoriser les paiements courants, les crédits et les autres transactions;"
12011,"établir les horaires et les procédures de travail, et coordonner les activités avec les autres services ou divisions;"
12011,résoudre les problèmes reliés au travail et préparer et soumettre des rapports d'étapes et d'autres rapports;
12011,identifier les besoins en matière de formation et former des travailleurs quant à leurs tâches et aux politiques de l'entreprise;
12011,commander des fournitures et du matériel;
12011,assurer le bon fonctionnement des systèmes informatiques et de l'équipement et voir à leur entretien et à leur réparation;
12011,"exercer, au besoin, les mêmes fonctions que les employés supervisés."
12012,"coordonner, répartir et réviser le travail des commis qui s'acquittent des tâches suivantes : mener des sondages et des interviews; recueillir et compiler des statistiques; préparer et émettre des permis, des passeports et d'autres documents à fonctions de réglementation; ranger des livres sur des rayons et effectuer d'autres tâches dans une bibliothèque; rédiger de la correspondance, y compris des messages électroniques, et préparer des documents à faire traduire ou à publier;"
12012,"établir les horaires et les procédures de travail, et coordonner les activités avec les autres services ou divisions;"
12012,"résoudre les problèmes reliés au travail, contrôler les services fournis par les commis et les agents et préparer et soumettre des rapports d'étapes et d'autres rapports;"
12012,former des travailleurs quant à leurs tâches et aux politiques de l'entreprise;
12012,commander des fournitures et du matériel;
12012,assurer le bon fonctionnement des systèmes informatiques et de l'équipement et voir à leur entretien et à leur réparation;
12012,"exercer, au besoin, les mêmes fonctions que les employés supervisés."
12013,"superviser, planifier, assigner et réviser le travail des commis préposés à l'expédition, à la réception, au stockage, à la distribution des matériaux, des pièces et des produits et à leur inventaire, au traitement de transactions d'achat, à la coordination des travaux de production, à la répartition des équipes, à la planification des horaires et des circuits des équipes de transport, et à d'autres activités connexes;"
12013,"assurer le respect des politiques, des procédures de sûreté et de sécurité, des normes et des règlements en vigueur et participer à leur amélioration;"
12013,résoudre divers problèmes et plaintes connexes et mettre en œuvre des mesures correctives et des améliorations des processus;
12013,former des travailleurs dans leurs tâches;
12013,commander des fournitures et du matériel;
12013,"assurer le bon fonctionnement des systèmes informatiques et des autres appareils et machines de bureau, et voir à leur entretien et à leur réparation;"
12013,"procéder, au besoin, à l'évaluation des performances des travailleurs supervisés;"
12013,"exercer, au besoin, les mêmes fonctions que les travailleurs supervisés."
12100,"établir et coordonner des politiques et des procédures administratives pour des dirigeants, des comités et des conseils d'administration;"
12100,"analyser des notes de service, des mémoires et des rapports reçus et à envoyer, rédiger des exposés et des rapports à l'intention des cadres de direction, des comités ou des conseils d'administration, et coordonner la préparation, la production et la présentation de ces documents;"
12100,"préparer l'ordre du jour des réunions des comités, des conseils d'administration et d'autres réunions, et prendre les dispositions nécessaires pour la tenue de ces réunions;"
12100,"exécuter des recherches, compiler des données et préparer des documents qui seront étudiés et présentés par des cadres supérieurs, des comités et des conseils d'administration;"
12100,"rencontrer des personnes ou groupes d'intérêt spéciaux et d'autres personnes ou groupes au nom de la direction, des comités et des conseils d'administration, pour déterminer les problèmes, et évaluer et recommander diverses mesures;"
12100,"assurer la liaison avec les cadres supérieurs de ministères ou d'entreprises, et d'autres organismes ou associations, au nom de la direction, des comités et des conseils d'administration."
12101,"déterminer les postes à combler immédiatement ou éventuellement, afficher les avis et les annonces et recueillir et passer au crible les demandes d'emploi;"
12101,informer les postulants des critères d'emploi ainsi que des conditions d'emploi;
12101,"examiner les répertoires des candidats et communiquer avec les candidats potentiels pour fixer une date d'entrevue et pour préparer les mutations, les affectations et les détachements;"
12101,"recruter des diplômés de collèges, d'universités et d'autres établissements d'enseignement;"
12101,coordonner et participer aux activités des comités d'examen et de sélection afin d'évaluer les candidats;
12101,informer les candidats des résultats de la sélection et rédiger les offres d'emploi;
12101,renseigner les cadres et les employés sur les politiques et les procédures de dotation;
12101,organiser et administrer les procédures de consultation du personnel et de grief;
12101,"déterminer l'admissibilité aux avantages, prendre les dispositions nécessaires pour la formation du personnel et fournir de l'information sur des services comme l'aide aux employés, le counselling et les programmes de reconnaissance;"
12101,"gérer et assurer, au besoin, la gestion d’ouverture de dossier en matière de Santé et Sécurité du travail (SST) et en faire le suivi;"
12101,"superviser, au besoin, les commis du service du personnel chargés du classement et de la tenue des dossiers."
12102,Les agents en approvisionnement
12102,"évaluer les risques, préparer des prévisions, des scénarios et d'autres facteurs concernant le marché de l'offre et rédiger des rapports et des recommandations;"
12102,effectuer des recherches et contribuer aux aspects de l'approvisionnement financier des contrats et des appels d'offres lorsque l'information n'est pas facilement accessible;
12102,identifier les opportunités de réduction des coûts à fort impact;
12102,"tirer parti du pouvoir d'achat de l'organisation pour optimiser les coûts, accéder à de nouveaux fournisseurs, réduire les délais et garantir l'approvisionnement;"
12102,établir et entretenir des relations avec les acheteurs et fournisseurs actuels et potentiels de l'organisation;
12102,"répondre aux demandes de renseignements du service à la clientèle, clarifier les exigences et fournir des renseignements au besoin."
12102,Les agents aux achats
12102,"acheter de l'équipement général et spécialisé, du matériel, des terrains ou des droits de passage ou des services aux entreprises, qui seront utilisés ou transformés par leurs établissements;"
12102,"évaluer les besoins d'un établissement et préciser les spécifications de l'équipement, du matériel et des fournitures à acheter;"
12102,"encourager des soumissions, consulter des fournisseurs et examiner des devis;"
12102,"déterminer ou négocier les modalités des contrats, accorder des contrats aux fournisseurs ou recommander leur attribution;"
